choose = 2
0 -0.00901743 10
0.01 -0.0089111 17
0.02 -0.00880478 17
0.03 -0.00869845 17
0.04 -0.00859212 17
0.05 -0.0084858 16
0.06 -0.00837947 16
0.07 -0.00827314 16
0.08 -0.00816682 17
0.09 -0.00806049 19
0.1 -0.00795417 18
0.11 -0.00784784 18
0.12 -0.00774151 19
0.13 -0.00763519 17
0.14 -0.00752886 17
0.15 -0.00742254 16
0.16 -0.00731621 16
0.17 -0.00720988 17
0.18 -0.00710356 17
0.19 -0.00699723 17
0.2 -0.00689091 17
0.21 -0.00678458 16
0.22 -0.00667825 17
0.23 -0.00657193 16
0.24 -0.0064656 17
0.25 -0.00635928 18
0.26 -0.00625295 17
0.27 -0.00614662 16
0.28 -0.0060403 16
0.29 -0.00593397 16
0.3 -0.00582764 16
0.31 -0.00572132 18
0.32 -0.00561499 16
0.33 -0.00550867 16
0.34 -0.00540234 16
0.35 -0.00529601 16
0.36 -0.00518984 16
0.37 -0.00508413 18
0.38 -0.00497887 18
0.39 -0.00487401 18
0.4 -0.00476954 17
0.41 -0.00466542 16
0.42 -0.00456162 17
0.43 -0.00445813 17
0.44 -0.00435493 17
0.45 -0.00425199 17
0.46 -0.00414929 17
0.47 -0.00404683 70
0.48 -0.00394458 29
0.49 -0.00384254 31
0.5 -0.00374068 53
0.51 -0.00363901 29
0.52 -0.00353751 28
0.53 -0.00343617 59
0.54 -0.00333498 31
0.55 -0.00323393 27
0.56 -0.00313302 27
0.57 -0.00303238 57
0.58 -0.0029351 56
0.59 -0.00283817 30
0.6 -0.00274159 29
0.61 -0.00264532 57
0.62 -0.00254936 27
0.63 -0.0024537 25
0.64 -0.00235831 26
0.65 -0.00226319 67
0.66 -0.00216832 29
0.67 -0.00207369 45
0.68 -0.00197929 73
0.69 -0.00188512 39
0.7 -0.00179116 54
0.71 -0.0016974 47
0.72 -0.00160383 35
0.73 -0.00151045 63
0.74 -0.00141725 38
0.75 -0.00132422 77
0.76 -0.00123165 50
0.77 -0.00114678 41
0.78 -0.00106239 77
0.79 -0.000978481 59
0.8 -0.000895022 52
0.81 -0.000811999 69
0.82 -0.000729396 76
0.83 -0.000647198 67
0.84 -0.000565402 69
0.85 -0.000484746 102
0.86 -0.000404483 84
0.87 -0.0003246 95
0.88 -0.000245084 98
0.89 -0.000176265 128
0.9 -0.00012319 105
0.91 -7.02959e-05 109
0.92 -1.75778e-05 106
0.93 3.49702e-05 130
0.94 7.86914e-05 120
0.95 0.000114564 118
0.96 0.000149775 133
0.97 0.000184344 129
0.98 0.000218292 150
0.99 0.000251636 124

choose = 3
0 -0.00901743 10
0.01 -0.0089111 18
0.02 -0.00880478 17
0.03 -0.00869845 16
0.04 -0.00859212 18
0.05 -0.0084858 16
0.06 -0.00837947 17
0.07 -0.00827314 17
0.08 -0.00816682 16
0.09 -0.00806049 17
0.1 -0.00795417 17
0.11 -0.00784784 19
0.12 -0.00774151 18
0.13 -0.00763519 17
0.14 -0.00752886 16
0.15 -0.00742254 16
0.16 -0.00731621 16
0.17 -0.00720988 17
0.18 -0.00710356 18
0.19 -0.00699723 17
0.2 -0.00689091 17
