choose = 2
0.00050000 0.00213791 0.00050007 2639
0.00060000 0.00311603 0.00060096 605
0.00070000 0.00398957 0.00070013 543
0.00080000 0.00411831 0.00080004 490
0.00090000 0.00426441 0.00090006 491
0.00100000 0.00437195 0.00100088 412
0.00110000 0.00457633 0.00110052 412
0.00120000 0.00464472 0.00120000 361
0.00130000 0.00468997 0.00130003 380
0.00140000 0.00472609 0.00139947 339
0.00150000 0.00475808 0.00149992 337
0.00160000 0.00478608 0.00159909 340
0.00170000 0.00481075 0.00169993 325
0.00180000 0.00481365 0.00171258 279
0.00190000 0.00481365 0.00171258 284

choose = 3
0.00040000 0.00143208 0.00040091 11085
0.00050000 0.00270778 0.00050096 4098
0.00060000 0.00361268 0.00060097 888
0.00070000 0.00410946 0.00070052 643
0.00080000 0.00430260 0.00080048 503
0.00090000 0.00441594 0.00090043 505
0.00100000 0.00453326 0.00100059 435
0.00110000 0.00460980 0.00110057 356
0.00120000 0.00465872 0.00120098 361
0.00130000 0.00469706 0.00130053 355
0.00140000 0.00473014 0.00139996 336
0.00150000 0.00475958 0.00149995 333
0.00160000 0.00478629 0.00159992 300
0.00170000 0.00481072 0.00169981 304
0.00180000 0.00481365 0.00171258 272
0.00190000 0.00481365 0.00171258 273

choose = 4
0.00040000 0.00197720 0.00040091 3209
0.00050000 0.00307181 0.00050093 2798
0.00060000 0.00385907 0.00060071 739
0.00070000 0.00417007 0.00070077 607
0.00080000 0.00433815 0.00080071 498
0.00090000 0.00445008 0.00090075 494
0.00100000 0.00453859 0.00099998 564
0.00110000 0.00461004 0.00110063 374
0.00120000 0.00465831 0.00120000 362
0.00130000 0.00469708 0.00130049 358
0.00140000 0.00473041 0.00140095 364
0.00150000 0.00475980 0.00150073 343
0.00160000 0.00478619 0.00159980 283
0.00170000 0.00481061 0.00169982 274
0.00180000 0.00481365 0.00171258 271
0.00190000 0.00481365 0.00171258 272

choose = 5
0.00040000 0.00221618 0.00040085 3396
0.00050000 0.00321464 0.00050077 1796
0.00060000 0.00389476 0.00060082 682
0.00070000 0.00419189 0.00070065 557
0.00080000 0.00434220 0.00080090 537
0.00090000 0.00445036 0.00090079 523
0.00100000 0.00453894 0.00100069 579
0.00110000 0.00461004 0.00110063 372
0.00120000 0.00465872 0.00120098 358
0.00130000 0.00469708 0.00130049 371
0.00140000 0.00473013 0.00139994 324
0.00150000 0.00475980 0.00150073 415
0.00160000 0.00478615 0.00159935 291
0.00170000 0.00481056 0.00169912 280
0.00180000 0.00481365 0.00171258 274
0.00190000 0.00481365 0.00171258 274

choose = 6
0.00040000 0.00234914 0.00040100 2828
0.00050000 0.00329786 0.00050079 1669
0.00060000 0.00391293 0.00060067 685
0.00070000 0.00419203 0.00070065 553
0.00080000 0.00434198 0.00080085 511
0.00090000 0.00445042 0.00090090 509
0.00100000 0.00453894 0.00100069 406
0.00110000 0.00461004 0.00110063 365
0.00120000 0.00465830 0.00119999 353
0.00130000 0.00469708 0.00130049 360
0.00140000 0.00473014 0.00139998 333
