choose = 2
0.00420000 0.00420000 0.00074937 22
0.00430000 0.00430000 0.00074894 22
0.00440000 0.00440000 0.00075515 43
0.00450000 0.00450000 0.00076797 34
0.00460000 0.00460000 0.00078222 23
0.00470000 0.00470000 0.00077660 24
0.00480000 0.00480000 0.00077367 22
0.00490000 0.00490000 0.00077345 24
0.00500000 0.00500000 0.00077593 19
0.00510000 0.00510000 0.00078112 22
0.00520000 0.00520000 0.00078900 20
0.00530000 0.00530000 0.00079959 20
0.00540000 0.00540000 0.00081288 25
0.00550000 0.00550000 0.00082888 26
0.00560000 0.00560000 0.00084757 22
0.00570000 0.00570000 0.00086897 23
0.00580000 0.00580000 0.00087617 20
0.00590000 0.00590000 0.00088121 23
0.00600000 0.00600000 0.00088726 21
0.00610000 0.00610000 0.00089433 21
0.00620000 0.00620000 0.00090241 20
0.00630000 0.00630000 0.00091149 19
0.00640000 0.00640000 0.00092160 24
0.00650000 0.00650000 0.00093271 22
0.00660000 0.00660000 0.00094483 24
0.00670000 0.00670000 0.00095797 19
0.00680000 0.00680000 0.00097212 20
0.00690000 0.00690000 0.00098728 44
0.00700000 0.00700000 0.00100345 19
0.00710000 0.00710000 0.00101123 21
0.00720000 0.00720000 0.00101662 20
0.00730000 0.00730000 0.00102413 18
0.00740000 0.00740000 0.00103376 33
0.00750000 0.00750000 0.00104551 21
0.00760000 0.00760000 0.00105938 18
0.00770000 0.00770000 0.00107537 17
0.00780000 0.00780000 0.00109349 18
0.00790000 0.00790000 0.00111373 17
0.00800000 0.00800000 0.00113609 18
0.00810000 0.00810000 0.00116057 20
0.00820000 0.00820000 0.00118717 48
0.00830000 0.00830000 0.00121589 18
0.00840000 0.00840000 0.00124673 20
0.00850000 0.00850000 0.00127970 20
0.00860000 0.00860000 0.00131479 32
0.00870000 0.00870000 0.00135048 32
0.00880000 0.00880000 0.00138015 17
0.00890000 0.00890000 0.00141211 21
0.00900000 0.00900000 0.00144636 16
0.00910000 0.00910000 0.00148291 19
0.00920000 0.00920000 0.00152175 18
0.00930000 0.00930000 0.00156289 52
0.00940000 0.00940000 0.00160632 20
0.00950000 0.00950000 0.00165204 22
0.00960000 0.00960000 0.00170006 20
0.00970000 0.00970000 0.00175038 18
0.00980000 0.00980000 0.00180298 16
0.00990000 0.00990000 0.00185788 16
0.01000000 0.01000000 0.00191508 18
0.01010000 0.01010000 0.00197457 20
0.01020000 0.01020000 0.00203635 29
0.01030000 0.01030000 0.00210043 17
0.01040000 0.01040000 0.00216680 16
0.01050000 0.01050000 0.00223547 20
0.01060000 0.01060000 0.00230642 19
0.01070000 0.01070000 0.00237968 18
0.01080000 0.01080000 0.00245523 19
0.01090000 0.01090000 0.00253307 16
0.01100000 0.01100000 0.00261320 22
0.01110000 0.01110000 0.00269563 46
0.01120000 0.01120000 0.00278036 8
0.01130000 0.01130000 0.00286737 9
0.01140000 0.01140000 0.00295668 7
0.01150000 0.01150000 0.00304829 8
0.01160000 0.01160000 0.00314219 9
0.01170000 0.01170000 0.00323838 8
0.01180000 0.01180000 0.00333687 7
0.01190000 0.01190000 0.00343765 9
0.01200000 0.01200000 0.00354089 10
0.01210000 0.01210000 0.00364875 8
0.01220000 0.01220000 0.00376191 8
0.01230000 0.01230000 0.00388038 9
0.01240000 0.01240000 0.00400415 8
0.01250000 0.01250000 0.00413322 9
0.01260000 0.01260000 0.00426760 8
0.01270000 0.01270000 0.00440729 9
0.01280000 0.01280000 0.00455227 8
0.01290000 0.01290000 0.00470256 7
0.01300000 0.01300000 0.00485816 9
0.01310000 0.01310000 0.00501906 9
0.01320000 0.01320000 0.00518526 9
0.01330000 0.01330000 0.00535677 8
0.01340000 0.01340000 0.00553359 10

choose = 4
0.00090000 0.00090000 0.00148982 8
0.00100000 0.00100000 0.00115293 8
0.00110000 0.00110000 0.00107626 9
0.00120000 0.00120000 0.00101573 10
0.00130000 0.00130000 0.00096279 9
0.00140000 0.00140000 0.00091523 10
0.00150000 0.00150000 0.00087283 63
0.00160000 0.00160000 0.00083559 17
0.00170000 0.00170000 0.00080351 18
0.00180000 0.00180000 0.00077659 18
0.00190000 0.00190000 0.00075483 23
0.00200000 0.00200000 0.00073824 26
0.00210000 0.00210000 0.00072680 27
0.00220000 0.00220000 0.00072053 47
0.00230000 0.00230000 0.00071942 32
0.00240000 0.00240000 0.00071652 26
0.00250000 0.00250000 0.00070462 22
0.00260000 0.00260000 0.00069489 22
0.00270000 0.00270000 0.00068731 26
0.00280000 0.00280000 0.00068189 21
0.00290000 0.00290000 0.00067864 20
