choose = 2
0.00030000 0.00422208 0.00030056 819
0.00040000 0.00489264 0.00040075 739
0.00050000 0.00539220 0.00050062 635
0.00060000 0.00625950 0.00060001 509
0.00070000 0.00683907 0.00070062 475
0.00080000 0.00724781 0.00080042 377
0.00090000 0.00771612 0.00090001 328
0.00100000 0.00779609 0.00100079 376
0.00110000 0.00821525 0.00110002 318
0.00120000 0.00899620 0.00120021 276
0.00130000 0.00921217 0.00130042 263
0.00140000 0.00940912 0.00140038 269
0.00150000 0.00956072 0.00150024 286
0.00160000 0.00968864 0.00160002 267
0.00170000 0.00980236 0.00170058 249
0.00180000 0.00990412 0.00180016 261
0.00190000 0.01024864 0.00190067 176

choose = 3
0.00020000 0.00306352 0.00020096 28502
0.00030000 0.00461611 0.00030099 21687
0.00040000 0.00560552 0.00040079 15947
0.00050000 0.00654145 0.00050073 8869
0.00060000 0.00709322 0.00060044 1200
0.00070000 0.00764464 0.00070088 758
0.00080000 0.00819658 0.00080065 403
0.00090000 0.00853869 0.00090059 354
0.00100000 0.00885832 0.00100095 407
0.00110000 0.00930291 0.00110100 318
0.00120000 0.00955171 0.00120028 274
0.00130000 0.00972769 0.00130000 260
0.00140000 0.00987240 0.00140032 305
0.00150000 0.00999773 0.00150051 277
0.00160000 0.01010950 0.00160050 254
0.00170000 0.01033206 0.00170064 181
0.00180000 0.01042406 0.00179999 171
0.00190000 0.01048470 0.00189995 137

choose = 4
0.00020000 0.00335292 0.00020096 3600675
0.00030000 0.00494567 0.00030092 2026354
0.00040000 0.00618191 0.00040089 56438
0.00050000 0.00695942 0.00050071 14660
0.00060000 0.00762549 0.00060099 873
0.00070000 0.00809440 0.00070071 474
0.00080000 0.00849160 0.00080047 414
0.00090000 0.00889154 0.00090066 333
0.00100000 0.00921040 0.00100048 262
0.00110000 0.00953258 0.00109997 245
0.00120000 0.00972956 0.00120044 260
0.00130000 0.00988427 0.00130072 265
0.00140000 0.01001638 0.00139995 231
0.00150000 0.01013454 0.00150067 235
0.00160000 0.01024084 0.00160085 231
0.00170000 0.01033898 0.00170096 190
0.00180000 0.01042406 0.00180000 183
0.00190000 0.01048472 0.00189999 135

choose = 5
0.00020000 0.00367049 0.00020099 3601668
0.00030000 0.00539448 0.00030099 269287
0.00040000 0.00653976 0.00040098 12579
0.00050000 0.00723726 0.00050094 11977
0.00060000 0.00783900 0.00060079 873
0.00070000 0.00829651 0.00070077 550
0.00080000 0.00870279 0.00080076 378
0.00090000 0.00902382 0.00090093 340
0.00100000 0.00929928 0.00100067 318
0.00110000 0.00953586 0.00110063 285
0.00120000 0.00972956 0.00120044 267
0.00130000 0.00988427 0.00130072 268
0.00140000 0.01001645 0.00140000 238
0.00150000 0.01013454 0.00150067 267
0.00160000 0.01024030 0.00159998 225
0.00170000 0.01033898 0.00170096 194
0.00180000 0.01042406 0.00179999 194
0.00190000 0.01048471 0.00189999 140

choose = 6
0.00020000 0.00395070 0.00020100 3601172
0.00030000 0.00572199 0.00030097 72727
0.00040000 0.00669904 0.00040093 10595
0.00050000 0.00737792 0.00050066 2010
0.00060000 0.00793425 0.00060086 761
0.00070000 0.00840198 0.00070076 512
0.00080000 0.00875365 0.00080090 442
0.00090000 0.00904710 0.00090099 350
0.00100000 0.00930820 0.00100071 293
0.00110000 0.00953630 0.00110093 335
0.00120000 0.00972956 0.00120044 235
0.00130000 0.00988427 0.00130072 242
0.00140000 0.01001630 0.00139993 222
0.00150000 0.01013454 0.00150067 260
0.00160000 0.01024084 0.00160085 241
0.00170000 0.01033898 0.00170096 208
0.00180000 0.01042406 0.00179999 181
0.00190000 0.01048472 0.00189999 170

choose = 7
0.00020000 0.00422428 0.00020097 3600616
0.00030000 0.00586496 0.00030097 60037
0.00040000 0.00680484 0.00040097 8925
0.00050000 0.00746307 0.00050093 1556
0.00060000 0.00803707 0.00060099 617
0.00070000 0.00844426 0.00070090 554
0.00080000 0.00877265 0.00080070 276
0.00090000 0.00905666 0.00090076 300
0.00100000 0.00930888 0.00100097 276
0.00110000 0.00953643 0.00110086 249
0.00120000 0.00972975 0.00120071 237
0.00130000 0.00988491 0.00130060 213
0.00140000 0.01001704 0.00140078 212
0.00150000 0.01013454 0.00150067 190
0.00160000 0.01024084 0.00160085 188
0.00170000 0.01033852 0.00169993 199
0.00180000 0.01042405 0.00179999 186
0.00190000 0.01048470 0.00189995 173

choose = 8
0.00010000 
0.00020000 0.00444870 0.00020097 358081
0.00030000 0.00596560 0.00030093 26190
