choose = 2
0.00000000 -0.01071747 86
0.01000000 -0.01058111 93
0.02000000 -0.01044475 92
0.03000000 -0.01030839 92
0.04000000 -0.01017203 92
0.05000000 -0.01003567 92
0.06000000 -0.00989931 90
0.07000000 -0.00976295 93
0.08000000 -0.00962659 92
0.09000000 -0.00949025 111
0.10000000 -0.00935515 92
0.11000000 -0.00922157 93
0.12000000 -0.00908913 92
0.13000000 -0.00895758 92
0.14000000 -0.00882672 92
0.15000000 -0.00869641 93
0.16000000 -0.00856655 93
0.17000000 -0.00843706 91
0.18000000 -0.00830788 92
0.19000000 -0.00817895 93
0.20000000 -0.00805025 93
0.21000000 -0.00792174 93
0.22000000 -0.00779339 94
0.23000000 -0.00766519 92
0.24000000 -0.00753711 94
0.25000000 -0.00740913 92
0.26000000 -0.00728126 93
0.27000000 -0.00715347 96
0.28000000 -0.00702576 98
0.29000000 -0.00689811 116
0.30000000 -0.00677053 116
0.31000000 -0.00664301 115
0.32000000 -0.00651553 117
0.33000000 -0.00638810 119
0.34000000 -0.00626072 118
0.35000000 -0.00613337 117
0.36000000 -0.00600606 116
0.37000000 -0.00587878 119
0.38000000 -0.00575153 118
0.39000000 -0.00562430 118
0.40000000 -0.00549711 130
0.41000000 -0.00536993 120
0.42000000 -0.00524278 122
0.43000000 -0.00511565 123
0.44000000 -0.00498854 146
0.45000000 -0.00486144 143
0.46000000 -0.00473436 142
0.47000000 -0.00460730 152
0.48000000 -0.00448025 143
0.49000000 -0.00435322 144
0.50000000 -0.00422619 151
0.51000000 -0.00409919 141
0.52000000 -0.00397219 168
0.53000000 -0.00384520 170
0.54000000 -0.00371822 155
0.55000000 -0.00359125 165
0.56000000 -0.00346430 168
0.57000000 -0.00333735 160
0.58000000 -0.00321040 174
0.59000000 -0.00308385 175
0.60000000 -0.00296179 172
0.61000000 -0.00283979 188
0.62000000 -0.00271785 215
0.63000000 -0.00259914 184
0.64000000 -0.00249138 178
0.65000000 -0.00238406 172
0.66000000 -0.00227715 185
0.67000000 -0.00217065 186
0.68000000 -0.00206453 191
0.69000000 -0.00196142 202
0.70000000 -0.00186014 231
0.71000000 -0.00175906 193
0.72000000 -0.00165818 209
0.73000000 -0.00155749 201
0.74000000 -0.00145698 213
0.75000000 -0.00135665 269
0.76000000 -0.00125648 277
0.77000000 -0.00115647 227
0.78000000 -0.00105662 266
0.79000000 -0.00095692 298
0.80000000 -0.00086567 260
0.81000000 -0.00078114 305
0.82000000 -0.00069661 316
0.83000000 -0.00061210 384
0.84000000 -0.00052760 420
0.85000000 -0.00044312 415
0.86000000 -0.00036558 524
0.87000000 -0.00029467 615
0.88000000 -0.00024274 736
0.89000000 -0.00019693 745
0.90000000 -0.00015235 697
0.91000000 -0.00010896 865
0.92000000 -0.00006672 775
0.93000000 -0.00002604 883
0.94000000 0.00001054 815
0.95000000 0.00004689 932
0.96000000 0.00008302 953
0.97000000 0.00011636 867
0.98000000 0.00014644 885
0.99000000 0.00017623 767

choose = 3
0.00000000 -0.01071747 84
0.01000000 -0.01058111 92
0.02000000 -0.01044475 92
0.03000000 -0.01030839 92
0.04000000 -0.01017203 91
0.05000000 -0.01003567 92
0.06000000 -0.00989931 93
0.07000000 -0.00976295 93
0.08000000 -0.00962659 93
0.09000000 -0.00949025 92
0.10000000 -0.00935515 94
0.11000000 -0.00922157 92
0.12000000 -0.00908913 92
0.13000000 -0.00895758 94
0.14000000 -0.00882672 93
0.15000000 -0.00869641 92
0.16000000 -0.00856655 97
0.17000000 -0.00843706 92
0.18000000 -0.00830788 91
0.19000000 -0.00817895 93
0.20000000 -0.00805025 91
0.21000000 -0.00792174 93
0.22000000 -0.00779339 94
0.23000000 -0.00766519 92
0.24000000 -0.00753711 92
0.25000000 -0.00740913 92
0.26000000 -0.00728126 91
0.27000000 -0.00715350 97
0.28000000 -0.00702628 92
0.29000000 -0.00689968 93
0.30000000 -0.00677363 92
