choose = 2
0.00010000 0.00010000 0.00050432 278
0.00020000 0.00020000 0.00045196 209
0.00030000 0.00029918 0.00048959 369
0.00040000 0.00040000 0.00046303 359
0.00050000 0.00050000 0.00042866 332
0.00060000 0.00060000 0.00040192 408
0.00070000 0.00070000 0.00038280 341
0.00080000 0.00080000 0.00037024 403
0.00090000 0.00090000 0.00036206 481
0.00100000 0.00100000 0.00036054 424
0.00110000 0.00110000 0.00036570 540
0.00120000 0.00120000 0.00035155 529
0.00130000 0.00130000 0.00033341 472
0.00140000 0.00140000 0.00032279 549
0.00150000 0.00150000 0.00030757 550
0.00160000 0.00160000 0.00029359 438
0.00170000 0.00170000 0.00028085 527
0.00180000 0.00180000 0.00026936 479
0.00190000 0.00190000 0.00025910 468
0.00200000 0.00200000 0.00025009 600
0.00210000 0.00210000 0.00024232 467
0.00220000 0.00220000 0.00023578 551
0.00230000 0.00230000 0.00023049 709
0.00240000 0.00240000 0.00022645 645
0.00250000 0.00250000 0.00021592 604
0.00260000 0.00260000 0.00020905 700
0.00270000 0.00270000 0.00020595 632
0.00280000 0.00280000 0.00020660 636
0.00290000 0.00290000 0.00021101 844
0.00300000 0.00300000 0.00021707 827
0.00310000 0.00310000 0.00022386 916
0.00320000 0.00320000 0.00022652 1069
0.00330000 0.00330000 0.00022550 1040
0.00340000 0.00339999 0.00022831 1176
0.00350000 0.00350000 0.00023647 1025
0.00360000 0.00360000 0.00024574 1019
0.00370000 0.00369999 0.00025154 1155
0.00380000 0.00380000 0.00025850 1182
0.00390000 0.00389999 0.00026660 891
0.00400000 0.00400000 0.00027587 1269
0.00410000 0.00409988 0.00028627 1121
0.00420000 0.00419999 0.00029785 988
0.00430000 0.00429994 0.00031057 1054
0.00440000 0.00440000 0.00032445 1208
0.00450000 0.00449999 0.00033857 883
0.00460000 0.00459999 0.00035305 898
0.00470000 0.00469999 0.00036845 782
0.00480000 0.00480000 0.00038479 943
0.00490000 0.00490000 0.00040206 756
0.00500000 0.00500000 0.00042025 753
0.00510000 0.00510000 0.00043939 866
0.00520000 0.00520000 0.00045945 831
0.00530000 0.00529999 0.00048044 740
0.00540000 0.00540000 0.00050236 695
0.00550000 0.00550000 0.00052522 499
0.00560000 0.00560000 0.00053927 504
0.00570000 0.00570000 0.00055446 490
0.00580000 0.00580000 0.00057105 473
0.00590000 0.00590000 0.00057456 503
0.00600000 0.00600000 0.00057876 474
0.00610000 0.00610000 0.00058518 616
0.00620000 0.00620000 0.00059382 488
0.00630000 0.00630000 0.00060468 561
0.00640000 0.00640000 0.00061775 528
0.00650000 0.00650000 0.00063305 380
0.00660000 0.00660000 0.00065056 442
0.00670000 0.00670000 0.00067029 443
0.00680000 0.00680000 0.00069224 481
0.00690000 0.00690000 0.00071282 427
0.00700000 0.00700000 0.00073486 387
0.00710000 0.00710000 0.00075945 476
0.00720000 0.00719999 0.00078656 470
0.00730000 0.00730000 0.00081621 365
0.00740000 0.00740000 0.00084840 450
0.00750000 0.00750000 0.00088312 424
0.00760000 0.00760000 0.00082388 310
0.00770000 0.00770000 0.00087812 375
0.00780000 0.00780000 0.00100249 344
0.00790000 0.00790000 0.00104513 281
0.00800000 0.00800000 0.00105543 333
0.00810000 0.00810000 0.00107233 398
0.00820000 0.00820000 0.00109585 269
0.00830000 0.00830000 0.00112598 279
0.00840000 0.00840000 0.00115137 252
0.00850000 0.00850000 0.00112438 193
0.00860000 0.00860000 0.00111158 197
0.00870000 0.00870000 0.00111295 166
0.00880000 0.00880000 0.00112850 174
0.00890000 0.00890000 0.00115823 171
0.00900000 0.00900000 0.00120214 189
0.00910000 0.00910000 0.00125853 196
0.00920000 0.00920000 0.00129535 172
0.00930000 0.00930000 0.00134084 166
0.00940000 0.00940000 0.00139501 159
0.00950000 0.00950000 0.00145786 153
0.00960000 0.00960000 0.00152937 173
0.00970000 0.00970000 0.00160956 153
0.00980000 0.00980000 0.00169842 160
0.00990000 0.00990000 0.00179596 156
0.01000000 0.01000000 0.00187818 169
0.01010000 0.01010000 0.00190795 153
0.01020000 0.01020000 0.00188990 151
0.01030000 0.01030000 0.00193139 164
0.01040000 0.01040000 0.00204823 114
0.01050000 0.01050000 0.00224043 120
0.01060000 0.01060000 0.00216517 102
0.01070000 0.01070000 0.00274870 95

choose = 3
0.00010000 0.00010000 0.00039426 332
0.00020000 0.00020000 0.00037849 439
0.00030000 0.00030000 0.00035672 466
0.00040000 0.00040000 0.00034360 462
0.00050000 0.00050000 0.00033198 539
0.00060000 0.00060000 0.00031497 555
0.00070000 0.00070000 0.00030263 488
0.00080000 0.00080000 0.00029765 603
0.00090000 0.00090000 0.00029174 543
0.00100000 0.00100000 0.00028480 525
0.00110000 0.00110000 0.00027540 651
0.00120000 0.00120000 0.00027140 649
0.00130000 0.00130000 0.00025603 615
0.00140000 0.00140000 0.00025054 693
0.00150000 0.00150000 0.00023857 700
0.00160000 0.00160000 0.00023171 628
0.00170000 0.00170000 0.00022385 1005
0.00180000 0.00180000 0.00021704 1082
0.00190000 0.00190000 0.00021127 1152
0.00200000 0.00200000 0.00020654 1195
0.00210000 0.00210000 0.00020285 1469
0.00220000 0.00220000 0.00019484 1465
0.00230000 0.00230000 0.00018850 1358
0.00240000 0.00240000 0.00018472 1975
0.00250000 0.00250000 0.00018350 2030
0.00260000 0.00260000 0.00018484 1898
0.00270000 0.00270000 0.00018875 4869
0.00280000 0.00280000 0.00018963 4984
0.00290000 0.00290000 0.00019298 4637
0.00300000 0.00300000 0.00019923 6141
0.00310000 0.00310000 0.00020230 6254
0.00320000 0.00320000 0.00020751 6766
0.00330000 0.00330000 0.00021348 8057
0.00340000 0.00340000 0.00021496 8058
0.00350000 0.00350000 0.00021961 7269
0.00360000 0.00360000 0.00022522 7506
0.00370000 0.00370000 0.00023146 7488
0.00380000 0.00380000 0.00023527 7211
0.00390000 0.00390000 0.00024000 6234
0.00400000 0.00400000 0.00024565 6437
0.00410000 0.00410000 0.00025223 6583
0.00420000 0.00420000 0.00025973 5994
0.00430000 0.00430000 0.00026816 5621
0.00440000 0.00440000 0.00027751 4759
0.00450000 0.00450000 0.00028779 5228
0.00460000 0.00460000 0.00029899 4987
0.00470000 0.00470000 0.00031112 4702
0.00480000 0.00480000 0.00032291 4098
0.00490000 0.00490000 0.00033290 3604
0.00500000 0.00500000 0.00034341 3488
0.00510000 0.00510000 0.00035443 3275
0.00520000 0.00520000 0.00036597 1900
0.00530000 0.00530000 0.00037771 1515
0.00540000 0.00540000 0.00038623 1682
0.00550000 0.00550000 0.00039366 1388
0.00560000 0.00560000 0.00040038 1312
0.00570000 0.00570000 0.00040843 945
0.00580000 0.00580000 0.00041781 912
0.00590000 0.00590000 0.00042608 779
0.00600000 0.00600000 0.00043478 624
0.00610000 0.00610000 0.00044455 667
0.00620000 0.00620000 0.00045541 640
0.00630000 0.00630000 0.00046735 582
0.00640000 0.00640000 0.00048037 693
0.00650000 0.00650000 0.00049448 632
0.00660000 0.00660000 0.00050966 489
0.00670000 0.00670000 0.00052593 590
0.00680000 0.00680000 0.00054328 598
0.00690000 0.00690000 0.00056172 481
0.00700000 0.00700000 0.00058123 562
0.00710000 0.00710000 0.00060183 468
0.00720000 0.00720000 0.00062308 581
0.00730000 0.00730000 0.00063857 581
0.00740000 0.00740000 0.00065602 452
0.00750000 0.00750000 0.00067544 586
0.00760000 0.00760000 0.00069275 463
0.00770000 0.00770000 0.00071146 422
0.00780000 0.00780000 0.00073289 477
0.00790000 0.00790000 0.00075702 416
0.00800000 0.00800000 0.00078049 373
0.00810000 0.00810000 0.00078733 385
0.00820000 0.00820000 0.00080121 375
0.00830000 0.00830000 0.00082214 323
0.00840000 0.00840000 0.00085010 337
0.00850000 0.00850000 0.00088512 308
0.00860000 0.00860000 0.00092251 331
0.00870000 0.00870000 0.00095976 342
0.00880000 0.00880000 0.00100131 187
0.00890000 0.00890000 0.00100287 173
0.00900000 0.00900000 0.00101579 183
0.00910000 0.00910000 0.00104007 172
0.00920000 0.00920000 0.00107364 161
0.00930000 0.00930000 0.00109973 151
0.00940000 0.00940000 0.00113368 142
0.00950000 0.00950000 0.00117549 132
0.00960000 0.00960000 0.00122515 137
0.00970000 0.00970000 0.00128268 126
0.00980000 0.00980000 0.00134807 140
0.00990000 0.00990000 0.00142132 140
0.01000000 0.01000000 0.00150242 133
0.01010000 0.01010000 0.00159139 135
0.01020000 0.01020000 0.00166598 128
0.01030000 0.01030000 0.00168003 128
0.01040000 0.01040000 0.00176785 98
0.01050000 0.01050000 0.00192946 99
0.01060000 0.01060000 0.00216483 95
0.01070000 0.01069915 0.00274096 102

choose = 4
0.00010000 0.00010000 0.00030736 244
0.00020000 0.00020000 0.00031556 370
0.00030000 0.00030000 0.00030355 486
0.00040000 0.00040000 0.00029124 446
0.00050000 0.00050000 0.00028180 403
0.00060000 0.00060000 0.00026568 598
0.00070000 0.00070000 0.00025679 530
0.00080000 0.00080000 0.00025512 569
0.00090000 0.00090000 0.00025292 645
0.00100000 0.00100000 0.00024524 702
0.00110000 0.00110000 0.00023963 1102
0.00120000 0.00120000 0.00022711 1017
0.00130000 0.00130000 0.00022093 1116
0.00140000 0.00140000 0.00021127 1156
0.00150000 0.00150000 0.00020966 1353
0.00160000 0.00160000 0.00020395 1433
0.00170000 0.00170000 0.00019921 4534
0.00180000 0.00180000 0.00019319 1969
0.00190000 0.00190000 0.00018606 1897
0.00200000 0.00200000 0.00018055 6242
0.00210000 0.00210000 0.00017667 5114
0.00220000 0.00220000 0.00017442 5380
0.00230000 0.00230000 0.00017379 7653
0.00240000 0.00240000 0.00017328 7605
0.00250000 0.00250000 0.00017099 8803
0.00260000 0.00260000 0.00017121 10723
0.00270000 0.00270000 0.00017395 10489
0.00280000 0.00280000 0.00017920 13571
0.00290000 0.00290000 0.00018257 21954
0.00300000 0.00300000 0.00018426 18098
0.00310000 0.00310000 0.00018718 19700
0.00320000 0.00320000 0.00019223 36516
0.00330000 0.00330000 0.00019784 29331
0.00340000 0.00340000 0.00020351 30383
0.00350000 0.00350000 0.00020754 27969
0.00360000 0.00360000 0.00021232 36650
0.00370000 0.00370000 0.00021547 29090
0.00380000 0.00380000 0.00021966 24207
0.00390000 0.00390000 0.00022487 28373
0.00400000 0.00400000 0.00023111 26557
0.00410000 0.00410000 0.00023795 24601
0.00420000 0.00420000 0.00024516 25428
0.00430000 0.00430000 0.00025329 24131
0.00440000 0.00440000 0.00026143 21683
0.00450000 0.00450000 0.00026763 16426
0.00460000 0.00460000 0.00027429 17159
0.00470000 0.00470000 0.00028142 10763
0.00480000 0.00480000 0.00028901 11768
0.00490000 0.00490000 0.00029707 11314
0.00500000 0.00500000 0.00030559 8128
0.00510000 0.00510000 0.00031454 9494
0.00520000 0.00520000 0.00031954 5856
0.00530000 0.00530000 0.00032523 5536
0.00540000 0.00540000 0.00033079 4301
0.00550000 0.00550000 0.00033735 3807
0.00560000 0.00560000 0.00034491 1509
0.00570000 0.00570000 0.00035347 1404
0.00580000 0.00580000 0.00036304 1407
0.00590000 0.00590000 0.00037360 969
0.00600000 0.00600000 0.00038517 994
0.00610000 0.00610000 0.00039389 1068
0.00620000 0.00620000 0.00040240 939
0.00630000 0.00630000 0.00041195 910
0.00640000 0.00640000 0.00042252 688
0.00650000 0.00650000 0.00043412 479
0.00660000 0.00660000 0.00044675 598
0.00670000 0.00670000 0.00046041 582
0.00680000 0.00680000 0.00047510 448
0.00690000 0.00690000 0.00049082 530
0.00700000 0.00700000 0.00050756 490
0.00710000 0.00710000 0.00052534 462
0.00720000 0.00720000 0.00053831 535
0.00730000 0.00730000 0.00054865 429
0.00740000 0.00740000 0.00056168 502
0.00750000 0.00750000 0.00057738 480
0.00760000 0.00760000 0.00059577 343
0.00770000 0.00770000 0.00061684 370
0.00780000 0.00780000 0.00064058 421
0.00790000 0.00790000 0.00066358 312
0.00800000 0.00800000 0.00068140 365
0.00810000 0.00810000 0.00070152 317
0.00820000 0.00820000 0.00072394 297
0.00830000 0.00830000 0.00074864 187
0.00840000 0.00840000 0.00077565 297
0.00850000 0.00850000 0.00080267 171
0.00860000 0.00860000 0.00082491 167
0.00870000 0.00870000 0.00084704 163
0.00880000 0.00880000 0.00087307 153
0.00890000 0.00890000 0.00090298 148
0.00900000 0.00900000 0.00093679 137
0.00910000 0.00910000 0.00097448 143
0.00920000 0.00920000 0.00099860 138
0.00930000 0.00930000 0.00102010 131
0.00940000 0.00940000 0.00104932 144
0.00950000 0.00950000 0.00108626 130
0.00960000 0.00960000 0.00113092 127
0.00970000 0.00970000 0.00118331 136
0.00980000 0.00980000 0.00124343 133
0.00990000 0.00990000 0.00131126 123
0.01000000 0.01000000 0.00138682 129
0.01010000 0.01010000 0.00147010 128
0.01020000 0.01020000 0.00156110 115
0.01030000 0.01030000 0.00165983 118
0.01040000 0.01040000 0.00176785 94
0.01050000 0.01050000 0.00192946 93
0.01060000 0.01060000 0.00216483 92
0.01070000 0.01070000 0.00274870 92

choose = 5
0.00010000 0.00010000 0.00027982 333
0.00020000 0.00020000 0.00027098 398
0.00030000 0.00030000 0.00026075 362
0.00040000 0.00040000 0.00025037 415
0.00050000 0.00050000 0.00024404 492
0.00060000 0.00060000 0.00023900 590
0.00070000 0.00070000 0.00023597 641
0.00080000 0.00080000 0.00022854 679
0.00090000 0.00090000 0.00021936 779
0.00100000 0.00100000 0.00021417 773
0.00110000 0.00110000 0.00021077 1223
0.00120000 0.00120000 0.00020654 1423
0.00130000 0.00130000 0.00019588 1626
0.00140000 0.00140000 0.00019061 1580
0.00150000 0.00150000 0.00018664 1854
0.00160000 0.00160000 0.00018410 5323
0.00170000 0.00170000 0.00018189 6417
0.00180000 0.00180000 0.00017783 8676
0.00190000 0.00190000 0.00017361 8285
0.00200000 0.00200000 0.00017029 9528
0.00210000 0.00210000 0.00016683 10409
0.00220000 0.00220000 0.00016466 13872
0.00230000 0.00230000 0.00016309 17170
0.00240000 0.00240000 0.00016311 27482
0.00250000 0.00250000 0.00016366 21969
0.00260000 0.00260000 0.00016372 34362
0.00270000 0.00270000 0.00016546 29548
0.00280000 0.00280000 0.00016770 34283
0.00290000 0.00290000 0.00017149 75364
0.00300000 0.00300000 0.00017553 73071
0.00310000 0.00310000 0.00017760 86350
0.00320000 0.00320000 0.00018023 102916
0.00330000 0.00330000 0.00018471 79337
0.00340000 0.00340000 0.00018972 107887
0.00350000 0.00350000 0.00019323 94389
0.00360000 0.00360000 0.00019749 109940
0.00370000 0.00370000 0.00020250 119251
0.00380000 0.00380000 0.00020826 113889
0.00390000 0.00390000 0.00021186 109968
0.00400000 0.00400000 0.00021599 124701
0.00410000 0.00410000 0.00022099 94498
0.00420000 0.00420000 0.00022687 64533
0.00430000 0.00430000 0.00023361 76798
0.00440000 0.00440000 0.00024123 77135
0.00450000 0.00450000 0.00024971 70509
0.00460000 0.00460000 0.00025647 55198
0.00470000 0.00470000 0.00026217 66667
0.00480000 0.00480000 0.00026762 39847
0.00490000 0.00490000 0.00027329 25700
0.00500000 0.00500000 0.00027823 18705
0.00510000 0.00510000 0.00028334 14869
0.00520000 0.00520000 0.00028836 10639
0.00530000 0.00530000 0.00029436 7492
0.00540000 0.00540000 0.00030133 6315
0.00550000 0.00550000 0.00030738 5222
