choose = 2
0.00000000 -0.00901743 46
0.01000000 -0.00891110 49
0.02000000 -0.00880478 48
0.03000000 -0.00869845 48
0.04000000 -0.00859212 49
0.05000000 -0.00848580 50
0.06000000 -0.00837947 48
0.07000000 -0.00827314 50
0.08000000 -0.00816682 49
0.09000000 -0.00806049 49
0.10000000 -0.00795417 51
0.11000000 -0.00784784 48
0.12000000 -0.00774151 49
0.13000000 -0.00763519 49
0.14000000 -0.00752886 49
0.15000000 -0.00742254 49
0.16000000 -0.00731621 50
0.17000000 -0.00720988 49
0.18000000 -0.00710356 51
0.19000000 -0.00699723 49
0.20000000 -0.00689091 49
0.21000000 -0.00678458 49
0.22000000 -0.00667825 49
0.23000000 -0.00657193 48
0.24000000 -0.00646560 48
0.25000000 -0.00635928 49
0.26000000 -0.00625295 50
0.27000000 -0.00614662 48
0.28000000 -0.00604030 49
0.29000000 -0.00593397 49
0.30000000 -0.00582764 49
0.31000000 -0.00572132 49
0.32000000 -0.00561499 49
0.33000000 -0.00550867 49
0.34000000 -0.00540234 49
0.35000000 -0.00529601 50
0.36000000 -0.00518984 49
0.37000000 -0.00508413 48
0.38000000 -0.00497887 49
0.39000000 -0.00487401 50
0.40000000 -0.00476954 49
0.41000000 -0.00466542 48
0.42000000 -0.00456162 48
0.43000000 -0.00445813 48
0.44000000 -0.00435493 49
0.45000000 -0.00425199 48
0.46000000 -0.00414929 49
0.47000000 -0.00404683 50
0.48000000 -0.00394458 72
0.49000000 -0.00384254 62
0.50000000 -0.00374068 60
0.51000000 -0.00363901 66
0.52000000 -0.00353751 61
0.53000000 -0.00343617 62
0.54000000 -0.00333498 68
0.55000000 -0.00323393 74
0.56000000 -0.00313302 79
0.57000000 -0.00303238 78
0.58000000 -0.00293510 78
0.59000000 -0.00283817 76
0.60000000 -0.00274159 75
0.61000000 -0.00264532 75
0.62000000 -0.00254936 79
0.63000000 -0.00245370 80
0.64000000 -0.00235831 76
0.65000000 -0.00226319 79
0.66000000 -0.00216832 81
0.67000000 -0.00207369 75
0.68000000 -0.00197929 75
0.69000000 -0.00188512 85
0.70000000 -0.00179116 80
0.71000000 -0.00169740 81
0.72000000 -0.00160383 88
0.73000000 -0.00151045 80
0.74000000 -0.00141725 90
0.75000000 -0.00132422 74
0.76000000 -0.00123165 75
0.77000000 -0.00114678 81
0.78000000 -0.00106239 92
0.79000000 -0.00097848 84
0.80000000 -0.00089502 87
0.81000000 -0.00081200 96
0.82000000 -0.00072940 115
0.83000000 -0.00064720 115
0.84000000 -0.00056540 119
0.85000000 -0.00048475 116
0.86000000 -0.00040448 134
0.87000000 -0.00032460 148
0.88000000 -0.00024508 151
0.89000000 -0.00017627 145
0.90000000 -0.00012319 154
0.91000000 -0.00007030 160
0.92000000 -0.00001758 157
0.93000000 0.00003497 184
0.94000000 0.00007869 173
0.95000000 0.00011456 190
0.96000000 0.00014977 197
0.97000000 0.00018434 190
0.98000000 0.00021829 181
0.99000000 0.00025164 190

choose = 3
