choose = 2
0.0005 0.00213679 0.00050000 783
0.00060000 0.00311065 0.00060000 1569
0.00070000 0.00398922 0.00070000 1037
0.00080000 0.00411827 0.00080000 510
0.00090000 0.00426434 0.00090000 582
0.00100000 0.00437113 0.00100000 634
0.00110000 0.00457578 0.00110000 287
0.00120000 0.00464472 0.00120000 283
0.00130000 0.00468996 0.00130000 293
0.00140000 0.00472627 0.00140000 280
0.00150000 0.00475810 0.00150000 270
0.00160000 0.00478632 0.00160000 88
0.00170000 0.00481077 0.00170000 259
0.00180000 0.00481365 0.00171258 114
0.00190000 0.00481365 0.00171258 75

choose = 3
0.00040000 0.00140929 0.00040000 4996
0.00050000 0.00269914 0.00050000 6169
0.00060000 0.00360874 0.00060000 1976
0.00070000 0.00410826 0.00070000 754
0.00080000 0.00430202 0.00080000 585
0.00090000 0.00441570 0.00090000 881
0.00100000 0.00453259 0.00100000 3747
0.00110000 0.00460969 0.00110000 2960
0.00120000 0.00465832 0.00120000 3075
0.00130000 0.00469702 0.00130000 390
0.00140000 0.00473015 0.00140000 350
0.00150000 0.00475960 0.00150000 341
0.00160000 0.00478632 0.00160000 89
0.00170000 0.00481075 0.00170000 415
0.00180000 0.00481365 0.00171258 143
0.00190000 0.00481365 0.00171258 74

choose = 4
0.00040000 0.00196815 0.00040000 6673
0.00050000 0.00306331 0.00050000 10190
0.00060000 0.00385676 0.00060000 3427
0.00070000 0.00416902 0.00070000 1267
0.00080000 0.00433737 0.00080000 967
0.00090000 0.00444950 0.00090000 5211
0.00100000 0.00453861 0.00100000 754
0.00110000 0.00460969 0.00110000 494
0.00120000 0.00465832 0.00120000 517
0.00130000 0.00469702 0.00130000 411
0.00140000 0.00473015 0.00140000 371
0.00150000 0.00475960 0.00150000 410
0.00160000 0.00478632 0.00160000 93
0.00170000 0.00481077 0.00170000 457
0.00180000 0.00481365 0.00171258 63
0.00190000 0.00481365 0.00171258 150

choose = 5
0.00040000 0.00220854 0.00040000 15356
0.00050000 0.00321082 0.00050000 22500
0.00060000 0.00389228 0.00060000 6595
0.00070000 0.00419092 0.00070000 868
0.00080000 0.00434130 0.00080000 1496
0.00090000 0.00444950 0.00090000 938
0.00100000 0.00453861 0.00100000 696
0.00110000 0.00460969 0.00110000 436
0.00120000 0.00465832 0.00120000 463
0.00130000 0.00469702 0.00130000 442
0.00140000 0.00473015 0.00140000 438
0.00150000 0.00475960 0.00150000 477
0.00160000 0.00478632 0.00160000 95
0.00170000 0.00481077 0.00170000 401
0.00180000 0.00481365 0.00171258 66
0.00190000 0.00481365 0.00171258 66

choose = 6
0.00040000 0.00233834 0.00040000 18717
0.00050000 0.00329494 0.00050000 40226
0.00060000 0.00391053 0.00060000 12111
0.00070000 0.00419092 0.00070000 655
0.00080000 0.00434130 0.00080000 1343
