choose = 2
0.0001 0.00010000 0.00044821 123
0.00020000 0.00020000 0.00043495 72
0.00030000 0.00030000 0.00042379 79
0.00040000 0.00040000 0.00041474 86
0.00050000 0.00050000 0.00040781 120
0.00060000 0.00060000 0.00040298 87
0.00070000 0.00070000 0.00038788 94
0.00080000 0.00080000 0.00037324 83
0.00090000 0.00090000 0.00036538 113
0.00100000 0.00100000 0.00033568 100
0.00110000 0.00110000 0.00031167 60
0.00120000 0.00120000 0.00030994 98
0.00130000 0.00130000 0.00033710 109
0.00140000 0.00140000 0.00034963 128
0.00150000 0.00150000 0.00036724 137
0.00160000 0.00160000 0.00035035 137
0.00170000 0.00170000 0.00030977 109
0.00180000 0.00180000 0.00028270 99
0.00190000 0.00190000 0.00027629 123
0.00200000 0.00200000 0.00029055 131
0.00210000 0.00210000 0.00030331 120
0.00220000 0.00220000 0.00031355 125
0.00230000 0.00230000 0.00031770 150
0.00240000 0.00240000 0.00031957 111
0.00250000 0.00250000 0.00032527 113
0.00260000 0.00260000 0.00033172 114
0.00270000 0.00270000 0.00033999 117
0.00280000 0.00280000 0.00032659 117
0.00290000 0.00290000 0.00031886 113
0.00300000 0.00300000 0.00032083 127
0.00310000 0.00310000 0.00033251 105
0.00320000 0.00320000 0.00035010 155
0.00330000 0.00330000 0.00036592 117
0.00340000 0.00340000 0.00036459 111
0.00350000 0.00350000 0.00036234 106
0.00360000 0.00360000 0.00036078 112
0.00370000 0.00370000 0.00035992 102
0.00380000 0.00380000 0.00035975 99
0.00390000 0.00390000 0.00036028 114
0.00400000 0.00400000 0.00036151 154
0.00410000 0.00410000 0.00036343 101
0.00420000 0.00420000 0.00036604 92
0.00430000 0.00430000 0.00036935 86
0.00440000 0.00440000 0.00037335 86
0.00450000 0.00450000 0.00037805 87
0.00460000 0.00460000 0.00038344 88
0.00470000 0.00470000 0.00038953 76
0.00480000 0.00480000 0.00039631 91
0.00490000 0.00490000 0.00040379 59
0.00500000 0.00500000 0.00041196 83
0.00510000 0.00510000 0.00042083 74
0.00520000 0.00520000 0.00043040 108
0.00530000 0.00530000 0.00044065 89
0.00540000 0.00540000 0.00045161 76
0.00550000 0.00550000 0.00046325 46
0.00560000 0.00560000 0.00047559 87
0.00570000 0.00570000 0.00048791 68
0.00580000 0.00580000 0.00049548 79
0.00590000 0.00590000 0.00050368 82
0.00600000 0.00600000 0.00051293 48
0.00610000 0.00610000 0.00052322 72
0.00620000 0.00620000 0.00053454 40
0.00630000 0.00630000 0.00054691 42
0.00640000 0.00640000 0.00056032 44
0.00650000 0.00650000 0.00057477 42
0.00660000 0.00660000 0.00059026 39
0.00670000 0.00670000 0.00060679 42
0.00680000 0.00680000 0.00062437 74
0.00690000 0.00690000 0.00064298 54
0.00700000 0.00700000 0.00066264 47
0.00710000 0.00710000 0.00068333 41
0.00720000 0.00720000 0.00070507 47
0.00730000 0.00730000 0.00072728 39
0.00740000 0.00740000 0.00074932 36
0.00750000 0.00750000 0.00077092 50
0.00760000 0.00760000 0.00079087 37
0.00770000 0.00770000 0.00081249 39
0.00780000 0.00780000 0.00083577 44
0.00790000 0.00790000 0.00086071 44
0.00800000 0.00800000 0.00087307 36
0.00810000 0.00810000 0.00087039 46
0.00820000 0.00820000 0.00087361 43
0.00830000 0.00830000 0.00088274 32
0.00840000 0.00840000 0.00089777 33
0.00850000 0.00850000 0.00091871 40
0.00860000 0.00860000 0.00094556 38
0.00870000 0.00870000 0.00097832 35
0.00880000 0.00880000 0.00098874 62
0.00890000 0.00890000 0.00091679 33
0.00900000 0.00900000 0.00088502 36
0.00910000 0.00910000 0.00089344 65
0.00920000 0.00920000 0.00094205 35
0.00930000 0.00930000 0.00103084 36
0.00940000 0.00940000 0.00115983 40
0.00950000 0.00950000 0.00116155 37
0.00960000 0.00960000 0.00117094 27
0.00970000 0.00970000 0.00119041 40
0.00980000 0.00980000 0.00121996 38
0.00990000 0.00990000 0.00114390 44
0.01000000 0.01000000 0.00107326 38
