choose = 2
0.0003 0.00245522 0.00030000 540
0.00040000 0.00485045 0.00040000 189
0.00050000 0.00585667 0.00050000 271
0.00060000 0.00665966 0.00060000 233
0.00070000 0.00717709 0.00070000 143
0.00080000 0.00764317 0.00080000 257
0.00090000 0.00912015 0.00090000 148
0.00100000 0.00927002 0.00100000 74
0.00110000 0.01040362 0.00110000 59
0.00120000 0.01051947 0.00120000 26
0.00130000 0.01060480 0.00130000 27
0.00140000 0.01067565 0.00140000 25
0.00150000 0.01073757 0.00150000 25
0.00160000 0.01079326 0.00160000 25
0.00170000 0.01084430 0.00170000 24
0.00180000 0.01089168 0.00180000 24
0.00190000 0.01093610 0.00190000 22

choose = 3
0.00030000 0.00450527 0.00030000 605
0.00040000 0.00630743 0.00040000 218
0.00050000 0.00737283 0.00050000 291
0.00060000 0.00811183 0.00060000 234
0.00070000 0.00877424 0.00070000 209
0.00080000 0.00995046 0.00080000 173
0.00090000 0.01014493 0.00090000 197
0.00100000 0.01029098 0.00100000 114
0.00110000 0.01041309 0.00110000 89
0.00120000 0.01051947 0.00120000 28
0.00130000 0.01060480 0.00130000 24
0.00140000 0.01067565 0.00140000 27
0.00150000 0.01073757 0.00150000 25
0.00160000 0.01079326 0.00160000 27
0.00170000 0.01084430 0.00170000 26
0.00180000 0.01089168 0.00180000 26
0.00190000 0.01093610 0.00190000 24

choose = 4
0.00030000 0.00531500 0.00030000 974
0.00040000 0.00703725 0.00040000 519
0.00050000 0.00823541 0.00050000 213
0.00060000 0.00926079 0.00060000 136
0.00070000 0.00966624 0.00070000 153
0.00080000 0.00995046 0.00080000 186
0.00090000 0.01014493 0.00090000 164
0.00100000 0.01029098 0.00100000 141
0.00110000 0.01041309 0.00110000 136
0.00120000 0.01051947 0.00120000 23
0.00130000 0.01060480 0.00130000 25
0.00140000 0.01067565 0.00140000 22
0.00150000 0.01073757 0.00150000 25
0.00160000 0.01079326 0.00160000 23
0.00170000 0.01084430 0.00170000 22
0.00180000 0.01089168 0.00180000 23
0.00190000 0.01093610 0.00190000 25

choose = 5
0.00020000 0.00378525 0.00020000 7338
0.00030000 0.00599331 0.00030000 2385
0.00040000 0.00764574 0.00040000 630
0.00050000 0.00862688 0.00050000 316
0.00060000 0.00928001 0.00060000 252
0.00070000 0.00966624 0.00070000 156
0.00080000 0.00995046 0.00080000 120
0.00090000 0.01014493 0.00090000 245
0.00100000 0.01029098 0.00100000 137
0.00110000 0.01041309 0.00110000 119
0.00120000 0.01051947 0.00120000 23
0.00130000 0.01060480 0.00130000 23
0.00140000 0.01067565 0.00140000 23
0.00150000 0.01073757 0.00150000 22
0.00160000 0.01079326 0.00160000 22
0.00170000 0.01084430 0.00170000 22
0.00180000 0.01089168 0.00180000 23
0.00190000 0.01093610 0.00190000 23

choose = 6
0.00020000 0.00428868 0.00020000 28387
0.00030000 0.00655175 0.00030000 3592
0.00040000 0.00785467 0.00040000 490
0.00050000 0.00870726 0.00050000 368
0.00060000 0.00928001 0.00060000 279
0.00070000 0.00966624 0.00070000 189
0.00080000 0.00995046 0.00080000 91
0.00090000 0.01014493 0.00090000 173
0.00100000 0.01029098 0.00100000 169
0.00110000 0.01041309 0.00110000 167
0.00120000 0.01051947 0.00120000 25
0.00130000 0.01060480 0.00130000 25
0.00140000 0.01067565 0.00140000 23
0.00150000 0.01073757 0.00150000 24
0.00160000 0.01079326 0.00160000 21
0.00170000 0.01084430 0.00170000 23
0.00180000 0.01089168 0.00180000 22
0.00190000 0.01093610 0.00190000 23

choose = 7
0.00020000 0.00462456 0.00020000 52784
0.00030000 0.00676570 0.00030000 2478
0.00040000 0.00793673 0.00040000 1054
0.00050000 0.00870726 0.00050000 411
0.00060000 0.00928001 0.00060000 250
0.00070000 0.00966624 0.00070000 143
0.00080000 0.00995046 0.00080000 142
0.00090000 0.01014493 0.00090000 158
0.00100000 0.01029098 0.00100000 188
0.00110000 0.01041309 0.00110000 157
0.00120000 0.01051947 0.00120000 23
0.00130000 0.01060480 0.00130000 23
0.00140000 0.01067565 0.00140000 21
0.00150000 0.01073757 0.00150000 21
0.00160000 0.01079326 0.00160000 22
0.00170000 0.01084430 0.00170000 22
0.00180000 0.01089168 0.00180000 22
0.00190000 0.01093610 0.00190000 21

choose = 8
0.00020000 0.00492529 0.00020000 111562
0.00030000 0.00684394 0.00030000 2049
0.00040000 0.00795013 0.00040000 2291
0.00050000 0.00870831 0.00050000 553
0.00060000 0.00928001 0.00060000 235
0.00070000 0.00966624 0.00070000 223
0.00080000 0.00995046 0.00080000 121
0.00090000 0.01014493 0.00090000 237
0.00100000 0.01029098 0.00100000 162
0.00110000 0.01041309 0.00110000 144
0.00120000 0.01051947 0.00120000 24
0.00130000 0.01060480 0.00130000 21
0.00140000 0.01067565 0.00140000 22
0.00150000 0.01073757 0.00150000 21
0.00160000 0.01079326 0.00160000 22
0.00170000 0.01084430 0.00170000 23
0.00180000 0.01089168 0.00180000 22
0.00190000 0.01093610 0.00190000 21

choose = 9
0.00020000 0.00508156 0.00020000 193236
0.00030000 0.00689248 0.00030000 91723
0.00040000 0.00795260 0.00040000 6974
0.00050000 0.00870832 0.00050000 1329
0.00060000 0.00928001 0.00060000 176
0.00070000 0.00966624 0.00070000 103
0.00080000 0.00995046 0.00080000 151
0.00090000 0.01014493 0.00090000 182
0.00100000 0.01029098 0.00100000 151
0.00110000 0.01041309 0.00110000 168
0.00120000 0.01051947 0.00120000 23
0.00130000 0.01060480 0.00130000 23
0.00140000 0.01067565 0.00140000 23
0.00150000 0.01073757 0.00150000 28
0.00160000 0.01079326 0.00160000 23
0.00170000 0.01084430 0.00170000 24
0.00180000 0.01089168 0.00180000 22
0.00190000 0.01093610 0.00190000 23

choose = 10
0.00020000 0.00518820 0.00020000 126301
0.00030000 0.00692322 0.00030000 82340
0.00040000 0.00795299 0.00040000 7524
0.00050000 0.00870831 0.00050000 348
0.00060000 0.00928001 0.00060000 182
0.00070000 0.00966624 0.00070000 96
0.00080000 0.00995046 0.00080000 164
0.00090000 0.01014493 0.00090000 169
0.00100000 0.01029098 0.00100000 166
0.00110000 0.01041309 0.00110000 179
0.00120000 0.01051947 0.00120000 26
0.00130000 0.01060480 0.00130000 23
0.00140000 0.01067565 0.00140000 22
0.00150000 0.01073757 0.00150000 24
0.00160000 0.01079326 0.00160000 24
0.00170000 0.01084430 0.00170000 22
0.00180000 0.01089168 0.00180000 24
0.00190000 0.01093610 0.00190000 23

