choose = 2
0.00030000 0.00246030 0.00030052 1273
0.00040000 0.00483739 0.00040002 238
0.00050000 0.00579605 0.00050021 182
0.00060000 0.00665822 0.00060069 199
0.00070000 0.00718374 0.00070048 170
0.00080000 0.00764574 0.00080055 174
0.00090000 0.00912191 0.00090065 109
0.00100000 0.00927007 0.00100005 101
0.00110000 0.01040330 0.00110000 55
0.00120000 0.01052000 0.00120001 56
0.00130000 0.01060574 0.00130000 51
0.00140000 0.01067689 0.00140000 50
0.00150000 0.01073900 0.00149994 49
0.00160000 0.01079492 0.00160000 50
0.00170000 0.01084612 0.00170000 51
0.00180000 0.01089358 0.00179983 51
0.00190000 0.01093815 0.00189983 50

choose = 3
0.00030000 0.00448441 0.00030073 3852
0.00040000 0.00631136 0.00040079 438
0.00050000 0.00737118 0.00050053 292
0.00060000 0.00810965 0.00060094 245
0.00070000 0.00877408 0.00070050 169
0.00080000 0.00995126 0.00080081 80
0.00090000 0.01014608 0.00090096 94
0.00100000 0.01029101 0.00099999 57
0.00110000 0.01041331 0.00109997 65
0.00120000 0.01051992 0.00119993 60
0.00130000 0.01060567 0.00129991 53
0.00140000 0.01067688 0.00139999 52
0.00150000 0.01073902 0.00149999 52
0.00160000 0.01079493 0.00160003 52
0.00170000 0.01084613 0.00170001 50
0.00180000 0.01089366 0.00180000 50
0.00190000 0.01093822 0.00190000 51

choose = 4
0.00020000 0.00208526 0.00020099 1404726
0.00030000 0.00530861 0.00030097 15815
0.00040000 0.00704342 0.00040071 840
0.00050000 0.00823794 0.00050066 301
0.00060000 0.00926348 0.00060089 151
0.00070000 0.00966685 0.00070044 125
0.00080000 0.00995126 0.00080081 94
0.00090000 0.01014612 0.00090088 98
0.00100000 0.01029103 0.00100000 65
0.00110000 0.01041332 0.00109998 71
0.00120000 0.01051997 0.00119999 54
0.00130000 0.01060574 0.00129999 53
0.00140000 0.01067677 0.00139983 54
0.00150000 0.01073901 0.00149998 53
0.00160000 0.01079491 0.00160000 51
0.00170000 0.01084608 0.00169992 50
0.00180000 0.01089366 0.00179999 50
0.00190000 0.01093822 0.00190000 51

choose = 5
0.00020000 0.00382057 0.00020098 961109
0.00030000 0.00600356 0.00030098 3400
0.00040000 0.00765015 0.00040100 495
0.00050000 0.00862803 0.00050094 235
0.00060000 0.00928094 0.00060050 153
0.00070000 0.00966685 0.00070044 122
0.00080000 0.00995126 0.00080081 90
0.00090000 0.01014612 0.00090088 92
0.00100000 0.01029103 0.00099999 64
0.00110000 0.01041331 0.00109997 64
0.00120000 0.01051994 0.00119995 57
0.00130000 0.01060573 0.00129998 55
0.00140000 0.01067687 0.00139998 52
0.00150000 0.01073920 0.00150029 53
0.00160000 0.01079491 0.00159999 52
0.00170000 0.01084608 0.00169992 51
0.00180000 0.01089366 0.00179999 52
0.00190000 0.01093807 0.00189968 51

choose = 6
0.00020000 0.00432138 0.00020097 1870813
0.00030000 0.00656214 0.00030089 2252
0.00040000 0.00785843 0.00040088 387
0.00050000 0.00870844 0.00050068 234
0.00060000 0.00928043 0.00060067 144
0.00070000 0.00966699 0.00070080 135
0.00080000 0.00995007 0.00080052 119
0.00090000 0.01014608 0.00090096 78
0.00100000 0.01029103 0.00099999 65
0.00110000 0.01041303 0.00109982 70
0.00120000 0.01051986 0.00119987 51
0.00130000 0.01060564 0.00129990 53
0.00140000 0.01067665 0.00139966 51
0.00150000 0.01073889 0.00149978 52
0.00160000 0.01079489 0.00159998 50
0.00170000 0.01084611 0.00169999 50
0.00180000 0.01089361 0.00179989 50
0.00190000 0.01093809 0.00189990 51

choose = 7
0.00020000 0.00464759 0.00020100 3600416
0.00030000 0.00677378 0.00030095 1987
0.00040000 0.00793919 0.00040058 394
0.00050000 0.00871069 0.00050095 259
0.00060000 0.00928263 0.00060088 163
0.00070000 0.00966694 0.00070080 171
0.00080000 0.00995193 0.00080100 73
0.00090000 0.01014608 0.00090096 89
0.00100000 0.01029103 0.00100000 66
0.00110000 0.01041303 0.00109995 66
0.00120000 0.01051998 0.00120000 52
0.00130000 0.01060567 0.00129992 53
0.00140000 0.01067658 0.00139968 53
0.00150000 0.01073894 0.00149990 51
0.00160000 0.01079489 0.00159996 51
0.00170000 0.01084598 0.00169996 52
0.00180000 0.01089356 0.00179993 53
0.00190000 0.01093821 0.00190000 51

choose = 8
0.00020000 0.00494895 0.00020100 3600311
0.00030000 0.00685315 0.00030088 1644
0.00040000 0.00795374 0.00040095 461
0.00050000 0.00871094 0.00050091 240
0.00060000 0.00928263 0.00060088 154
0.00070000 0.00966694 0.00070080 163
0.00080000 0.00994970 0.00080000 86
0.00090000 0.01014608 0.00090096 83
0.00100000 0.01029102 0.00100000 66
0.00110000 0.01041364 0.00110028 72
0.00120000 0.01051958 0.00119979 55
0.00130000 0.01060558 0.00129993 53
0.00140000 0.01067668 0.00139978 53
0.00150000 0.01073896 0.00149989 57
0.00160000 0.01079485 0.00159989 51
0.00170000 0.01084609 0.00169993 52
0.00180000 0.01089315 0.00179922 52
