choose = 2
0 -0.0134348 97
0.01 -0.0132445 13
0.02 -0.0130542 10
0.03 -0.0128639 12
0.04 -0.0126736 13
0.05 -0.0124833 12
0.06 -0.012293 11
0.07 -0.0121026 11
0.08 -0.0119123 12
0.09 -0.011722 11
0.1 -0.0115317 12
0.11 -0.0113414 11
0.12 -0.0111511 13
0.13 -0.0109608 13
0.14 -0.0107705 11
0.15 -0.0105801 11
0.16 -0.0103898 17
0.17 -0.0101995 13
0.18 -0.0100092 11
0.19 -0.00981889 12
0.2 -0.00962858 14
0.21 -0.00943827 11
0.22 -0.00924795 12
0.23 -0.00905764 11
0.24 -0.00886733 13
0.25 -0.00867702 13
0.26 -0.00848671 12
0.27 -0.00829639 12
0.28 -0.00810608 12
0.29 -0.00791577 11
0.3 -0.00772546 14
0.31 -0.00753514 12
0.32 -0.00734483 12
0.33 -0.00715452 13
0.34 -0.00696421 11
0.35 -0.00677389 15
0.36 -0.00658401 13
0.37 -0.00639752 10
0.38 -0.00621476 10
0.39 -0.00603544 7
0.4 -0.0058593 8
0.41 -0.00568611 8
0.42 -0.00551565 7
0.43 -0.00534774 7
0.44 -0.0051822 7
0.45 -0.00501888 8
0.46 -0.00485763 8
0.47 -0.00469831 9
0.48 -0.00454082 8
0.49 -0.00438502 7
0.5 -0.00423083 55
0.51 -0.00407815 13
0.52 -0.00392689 26
0.53 -0.00377698 17
0.54 -0.00362832 15
0.55 -0.00348087 15
0.56 -0.00333455 14
0.57 -0.00318931 15
0.58 -0.00304508 14
0.59 -0.00290182 44
0.6 -0.00277227 13
0.61 -0.00264995 13
0.62 -0.0025295 14
0.63 -0.00241082 12
0.64 -0.00229383 14
0.65 -0.00217846 15
0.66 -0.00206463 34
0.67 -0.00195227 22
0.68 -0.00184132 15
0.69 -0.00173171 19
0.7 -0.00162339 26
0.71 -0.00151631 26
0.72 -0.00141041 24
0.73 -0.00130564 30
0.74 -0.00120196 23
0.75 -0.00109932 31
0.76 -0.000997691 24
0.77 -0.000897022 24
0.78 -0.00079728 22
0.79 -0.00069843 19
0.8 -0.000600438 25
0.81 -0.000503272 27
0.82 -0.000406903 22
0.83 -0.000311301 19
0.84 -0.000216439 30
0.85 -0.000122291 50
0.86 -2.8832e-05 36
0.87 6.39617e-05 23
0.88 0.000156113 28
0.89 0.000243363 23
0.9 0.000311028 27
0.91 0.000371477 20
0.92 0.000431441 45
0.93 0.000490936 53
0.94 0.000549978 19
0.95 0.000603926 22
0.96 0.00064961 18
0.97 0.000693672 20
0.98 0.000730061 19
0.99 0.000766447 21

choose = 3
0 -0.0134348 53
0.01 -0.0132445 8
0.02 -0.0130542 8
0.03 -0.0128639 8
0.04 -0.0126736 8
0.05 -0.0124833 8
0.06 -0.012293 8
0.07 -0.0121026 9
0.08 -0.0119123 8
0.09 -0.011722 7
0.1 -0.0115317 7
0.11 -0.0113414 8
0.12 -0.0111511 9
0.13 -0.0109608 9
0.14 -0.0107705 9
0.15 -0.0105801 8
0.16 -0.0103898 8
0.17 -0.0101995 8
0.18 -0.0100092 9
0.19 -0.00981889 10
0.2 -0.00962858 8
0.21 -0.00943827 7
0.22 -0.00924795 8
0.23 -0.00905764 8
0.24 -0.00886733 11
0.25 -0.00867702 9
0.26 -0.00848671 7
0.27 -0.00829639 10
0.28 -0.00810608 11
0.29 -0.00791577 8
0.3 -0.00772546 12
0.31 -0.00753514 10
0.32 -0.00734483 7
0.33 -0.00715452 8
0.34 -0.00696421 9
0.35 -0.00677389 9
0.36 -0.00658401 9
0.37 -0.00639752 8
0.38 -0.00621476 9
0.39 -0.00603544 7
0.4 -0.0058593 9
0.41 -0.00568611 10
0.42 -0.00551565 8
0.43 -0.00534774 7
0.44 -0.0051822 7
0.45 -0.00501888 9
0.46 -0.00485763 7
0.47 -0.00469831 8
0.48 -0.00454082 9
0.49 -0.00438502 8
0.5 -0.00423158 7
0.51 -0.0040816 7
0.52 -0.00393491 9
0.53 -0.00379132 8
0.54 -0.00365066 9
0.55 -0.00351277 58
0.56 -0.0033775 20
0.57 -0.00324472 17
0.58 -0.00311429 21
0.59 -0.00298609 18
0.6 -0.00286001 18
0.61 -0.00273596 18
0.62 -0.00261383 17
0.63 -0.00249352 18
0.64 -0.00237496 21
0.65 -0.00225806 21
0.66 -0.00214275 55
0.67 -0.00202896 22
0.68 -0.00191661 21
0.69 -0.00180566 23
0.7 -0.00169603 18
0.71 -0.00158767 29
0.72 -0.00148053 20
0.73 -0.00137456 24
0.74 -0.0012697 31
0.75 -0.00116593 23
0.76 -0.0010685 26
0.77 -0.000972766 37
0.78 -0.000878064 26
0.79 -0.000784355 18
0.8 -0.000691602 19
0.81 -0.00059977 29
0.82 -0.000508826 65
0.83 -0.000418736 39
0.84 -0.000329471 25
0.85 -0.000241002 25
0.86 -0.0001533 42
0.87 -6.63392e-05 34
0.88 1.99055e-05 28
0.89 0.000105458 36
0.9 0.000189323 49
0.91 0.000249922 28
0.92 0.000309833 40
0.93 0.00036927 28
0.94 0.000428246 45
0.95 0.000486777 40
0.96 0.000544876 96
0.97 0.000593179 40
0.98 0.000635415 39
0.99 0.000677412 32

choose = 4
0 -0.0134348 81
0.01 -0.0132445 9
0.02 -0.0130542 8
0.03 -0.0128639 8
0.04 -0.0126736 7
0.05 -0.0124833 7
0.06 -0.012293 7
0.07 -0.0121026 9
0.08 -0.0119123 8
0.09 -0.011722 9
0.1 -0.0115317 8
0.11 -0.0113414 9
0.12 -0.0111511 10
0.13 -0.0109608 7
0.14 -0.0107705 7
0.15 -0.0105801 8
0.16 -0.0103898 7
0.17 -0.0101995 8
0.18 -0.0100092 7
0.19 -0.00981889 10
0.2 -0.00962858 7
0.21 -0.00943827 8
0.22 -0.00924795 7
0.23 -0.00905764 8
0.24 -0.00886733 8
0.25 -0.00867702 7
0.26 -0.00848671 7
0.27 -0.00829639 7
0.28 -0.00810608 7
0.29 -0.00791577 7
0.3 -0.00772546 9
0.31 -0.00753514 7
0.32 -0.00734483 9
0.33 -0.00715452 7
0.34 -0.00696421 9
0.35 -0.00677389 7
0.36 -0.00658401 9
0.37 -0.00639752 9
0.38 -0.00621476 8
0.39 -0.00603544 7
0.4 -0.0058593 8
0.41 -0.00568611 9
0.42 -0.00551565 7
0.43 -0.00534774 9
0.44 -0.0051822 8
0.45 -0.00501888 8
0.46 -0.00485763 8
0.47 -0.00469831 8
0.48 -0.00454082 10
0.49 -0.00438502 9
0.5 -0.00423158 7
0.51 -0.0040816 7
0.52 -0.00393491 7
0.53 -0.00379132 8
0.54 -0.00365066 8
0.55 -0.00351289 8
0.56 -0.00337806 7
0.57 -0.00324602 7
0.58 -0.00311663 7
0.59 -0.00298975 8
0.6 -0.00286526 8
0.61 -0.00274303 9
0.62 -0.00262297 9
0.63 -0.00250497 7
0.64 -0.00238892 8
0.65 -0.00227475 8
0.66 -0.00216236 9
0.67 -0.00205167 7
0.68 -0.00194262 8
0.69 -0.00183513 9
0.7 -0.00172912 8
0.71 -0.00162455 8
0.72 -0.00152135 8
0.73 -0.00141946 9
0.74 -0.00131883 8
0.75 -0.00121941 7
0.76 -0.00112115 8
0.77 -0.00102401 8
0.78 -0.000927939 59
0.79 -0.000832904 27
0.8 -0.000738864 32
0.81 -0.000645781 33
0.82 -0.00055362 49
0.83 -0.000462349 43
0.84 -0.000371935 39
0.85 -0.000282348 31
0.86 -0.000201429 26
0.87 -0.000124288 28
0.88 -4.86509e-05 36
0.89 2.55336e-05 38
0.9 9.83139e-05 41
0.91 0.000169736 30
0.92 0.000239845 27
0.93 0.000308682 31
0.94 0.000376289 27
0.95 0.000433539 45
0.96 0.00048944 36
0.97 0.000544172 30
0.98 0.000593346 31
0.99 0.000640522 36

choose = 5
0 -0.0134348 30
0.01 -0.0132445 9
0.02 -0.0130542 8
0.03 -0.0128639 9
0.04 -0.0126736 7
0.05 -0.0124833 7
0.06 -0.012293 6
0.07 -0.0121026 7
0.08 -0.0119123 9
0.09 -0.011722 8
0.1 -0.0115317 9
0.11 -0.0113414 9
0.12 -0.0111511 8
0.13 -0.0109608 10
0.14 -0.0107705 9
0.15 -0.0105801 8
0.16 -0.0103898 9
0.17 -0.0101995 7
0.18 -0.0100092 9
0.19 -0.00981889 9
0.2 -0.00962858 8
0.21 -0.00943827 9
0.22 -0.00924795 8
0.23 -0.00905764 9
0.24 -0.00886733 7
0.25 -0.00867702 10
0.26 -0.00848671 9
0.27 -0.00829639 7
0.28 -0.00810608 7
0.29 -0.00791577 7
0.3 -0.00772546 8
0.31 -0.00753514 7
0.32 -0.00734483 8
0.33 -0.00715452 7
0.34 -0.00696421 9
0.35 -0.00677389 9
0.36 -0.00658401 9
0.37 -0.00639752 8
0.38 -0.00621476 9
0.39 -0.00603544 7
0.4 -0.0058593 8
0.41 -0.00568611 8
0.42 -0.00551565 9
0.43 -0.00534774 7
0.44 -0.0051822 9
0.45 -0.00501888 8
0.46 -0.00485763 9
0.47 -0.00469831 10
0.48 -0.00454082 8
0.49 -0.00438502 8
0.5 -0.00423158 9
0.51 -0.0040816 8
0.52 -0.00393491 8
0.53 -0.00379132 7
0.54 -0.00365066 9
0.55 -0.00351289 9
0.56 -0.00337806 12
0.57 -0.00324602 13
0.58 -0.00311663 13
0.59 -0.00298975 8
0.6 -0.00286526 7
0.61 -0.00274303 8
0.62 -0.00262297 7
0.63 -0.00250497 9
0.64 -0.00238892 8
0.65 -0.00227475 7
0.66 -0.00216236 8
0.67 -0.00205167 7
0.68 -0.00194262 10
0.69 -0.00183513 12
0.7 -0.00172912 9
0.71 -0.00162455 11
0.72 -0.00152135 11
0.73 -0.00141946 11
0.74 -0.00131883 9
0.75 -0.00121941 9
0.76 -0.00112115 8
