choose = 2
0.44 -0.005039 17
0.45 -0.0049175 18
0.46 -0.00479616 17
0.47 -0.00467495 18
0.48 -0.00455388 17
0.49 -0.0044336 17
0.5 -0.00431442 17
0.51 -0.00419626 17
0.52 -0.00407906 20
0.53 -0.00396278 17
0.54 -0.00384736 17
0.55 -0.00373275 16
0.56 -0.00361891 18
0.57 -0.0035058 18
0.58 -0.00339339 17
0.59 -0.00328163 17
0.6 -0.00317049 17
0.61 -0.00305995 17
0.62 -0.00294998 18
0.63 -0.00284054 17
0.64 -0.00273161 16
0.65 -0.00262317 18
0.66 -0.0025152 18
0.67 -0.00240768 17
0.68 -0.00230058 174
0.69 -0.00219389 63
0.7 -0.00208759 55
0.71 -0.00198166 58
0.72 -0.00187609 74
0.73 -0.00177087 60
0.74 -0.00166597 109
0.75 -0.00156139 54
0.76 -0.00145711 66
0.77 -0.00135313 64
0.78 -0.00125317 83
0.79 -0.00115674 86
0.8 -0.00106083 83
0.81 -0.000970763 71
0.82 -0.000882076 91
0.83 -0.000796508 82
0.84 -0.00071465 83
0.85 -0.000633422 102
0.86 -0.000552802 105
0.87 -0.00047277 132
0.88 -0.000397967 135
0.89 -0.000327865 169
0.9 -0.000259158 311
0.91 -0.0001918 1008
0.92 -0.000131121 2195
0.93 -7.18513e-05 4525
0.94 -2.33231e-05 6375
0.95 1.7877e-05 6840
0.96 5.48346e-05 6338
0.97 8.64834e-05 5040
0.98 0.000114471 3411
0.99 0.000142032 1627

choose = 5
0 -0.0107034 10
0.01 -0.0105672 19
0.02 -0.010431 18
0.03 -0.0102948 20
0.04 -0.0101586 19
0.05 -0.0100224 18
0.06 -0.00988624 18
0.07 -0.00975003 18
0.08 -0.00961383 18
0.09 -0.00947764 21
0.1 -0.00934246 18
0.11 -0.00920885 19
0.12 -0.00907643 17
0.13 -0.00894491 17
0.14 -0.00881411 17
0.15 -0.00868387 18
0.16 -0.0085541 18
0.17 -0.00842472 17
0.18 -0.00829565 17
0.19 -0.00816685 17
0.2 -0.00803827 18
0.21 -0.0079099 17
0.22 -0.00778169 17
0.23 -0.00765362 18
0.24 -0.00752569 22
0.25 -0.00739787 17
0.26 -0.00727015 17
0.27 -0.0071426 17
0.28 -0.00701565 18
0.29 -0.0068893 17
0.3 -0.00676351 17
0.31 -0.00663821 17
0.32 -0.00651336 17
0.33 -0.00638892 18
0.34 -0.00626485 17
0.35 -0.00614111 17
0.36 -0.00601769 17
0.37 -0.00589456 17
0.38 -0.00577169 20
0.39 -0.00564906 18
0.4 -0.00552666 17
0.41 -0.00540447 17
0.42 -0.00528247 18
0.43 -0.00516065 17
0.44 -0.005039 17
0.45 -0.0049175 17
0.46 -0.00479616 17
0.47 -0.00467495 17
0.48 -0.00455388 17
0.49 -0.0044336 18
0.5 -0.00431442 19
0.51 -0.00419626 17
0.52 -0.00407906 17
0.53 -0.00396278 18
0.54 -0.00384736 18
0.55 -0.00373275 17
0.56 -0.00361891 17
0.57 -0.0035058 17
0.58 -0.00339339 18
0.59 -0.00328163 17
0.6 -0.00317049 17
0.61 -0.00305995 19
0.62 -0.00294998 18
0.63 -0.00284054 18
0.64 -0.00273161 19
0.65 -0.00262317 17
0.66 -0.0025152 18
0.67 -0.00240768 19
0.68 -0.00230058 112
0.69 -0.00219389 88
0.7 -0.00208935 74
0.71 -0.00198495 78
0.72 -0.00188134 77
0.73 -0.00177853 142
0.74 -0.00167814 56
0.75 -0.00157902 57
0.76 -0.00148112 66
0.77 -0.00138439 98
0.78 -0.00128879 174
0.79 -0.00119428 83
0.8 -0.00110081 94
0.81 -0.00100909 76
0.82 -0.000921526 78
0.83 -0.000834907 107
0.84 -0.000749199 85
0.85 -0.000664369 94
0.86 -0.000582864 145
0.87 -0.000505705 118
0.88 -0.000431553 122
0.89 -0.000361787 142
0.9 -0.000293416 320
0.91 -0.000226395 838
0.92 -0.000160678 1684
0.93 -0.000100047 4878
0.94 -4.17962e-05 13127
0.95 4.30561e-06 25325
0.96 4.40736e-05 24399
0.97 7.75745e-05 17506
0.98 0.000106737 7229
0.99 0.000134916 4595

choose = 6
0 -0.0107034 12
0.01 -0.0105672 19
0.02 -0.010431 18
0.03 -0.0102948 18
0.04 -0.0101586 18
0.05 -0.0100224 18
0.06 -0.00988624 18
0.07 -0.00975003 18
0.08 -0.00961383 17
0.09 -0.00947764 18
0.1 -0.00934246 17
0.11 -0.00920885 17
0.12 -0.00907643 17
0.13 -0.00894491 19
0.14 -0.00881411 18
0.15 -0.00868387 17
0.16 -0.0085541 17
0.17 -0.00842472 17
0.18 -0.00829565 17
0.19 -0.00816685 17
0.2 -0.00803827 17
0.21 -0.0079099 17
0.22 -0.00778169 17
0.23 -0.00765362 17
0.24 -0.00752569 17
0.25 -0.00739787 17
0.26 -0.00727015 18
0.27 -0.0071426 18
0.28 -0.00701565 18
0.29 -0.0068893 18
0.3 -0.00676351 17
0.31 -0.00663821 17
0.32 -0.00651336 17
0.33 -0.00638892 17
0.34 -0.00626485 17
0.35 -0.00614111 17
0.36 -0.00601769 17
0.37 -0.00589456 19
0.38 -0.00577169 17
0.39 -0.00564906 17
0.4 -0.00552666 17
0.41 -0.00540447 18
0.42 -0.00528247 17
0.43 -0.00516065 17
0.44 -0.005039 17
0.45 -0.0049175 17
0.46 -0.00479616 17
0.47 -0.00467495 17
0.48 -0.00455388 18
0.49 -0.0044336 17
0.5 -0.00431442 19
0.51 -0.00419626 17
0.52 -0.00407906 17
0.53 -0.00396278 17
0.54 -0.00384736 18
0.55 -0.00373275 17
0.56 -0.00361891 17
0.57 -0.0035058 17
0.58 -0.00339339 17
0.59 -0.00328163 18
0.6 -0.00317049 17
0.61 -0.00305995 17
0.62 -0.00294998 17
0.63 -0.00284054 17
0.64 -0.00273161 19
0.65 -0.00262317 17
0.66 -0.0025152 18
0.67 -0.00240768 18
0.68 -0.00230069 18
0.69 -0.00219479 17
0.7 -0.00208935 72
0.71 -0.00198659 58
0.72 -0.0018842 140
0.73 -0.00178288 86
0.74 -0.00168427 84
0.75 -0.00158672 87
0.76 -0.00149055 88
0.77 -0.00139571 92
0.78 -0.00130214 88
0.79 -0.00120979 108
0.8 -0.00111863 93
0.81 -0.0010286 57
0.82 -0.000939664 94
0.83 -0.000851782 109
0.84 -0.000765587 75
