choose = 2
0.00000000 -0.01343483 8
0.01000000 -0.01324451 9
0.02000000 -0.01305420 8
0.03000000 -0.01286389 8
0.04000000 -0.01267358 8
0.05000000 -0.01248326 8
0.06000000 -0.01229295 8
0.07000000 -0.01210264 8
0.08000000 -0.01191233 8
0.09000000 -0.01172201 8
0.10000000 -0.01153170 9
0.11000000 -0.01134139 8
0.12000000 -0.01115108 9
0.13000000 -0.01096077 8
0.14000000 -0.01077045 8
0.15000000 -0.01058014 8
0.16000000 -0.01038983 8
0.17000000 -0.01019952 9
0.18000000 -0.01000920 8
0.19000000 -0.00981889 8
0.20000000 -0.00962858 8
0.21000000 -0.00943827 8
0.22000000 -0.00924795 9
0.23000000 -0.00905764 8
0.24000000 -0.00886733 9
0.25000000 -0.00867702 8
0.26000000 -0.00848671 8
0.27000000 -0.00829639 8
0.28000000 -0.00810608 8
0.29000000 -0.00791577 8
0.30000000 -0.00772546 8
0.31000000 -0.00753514 8
0.32000000 -0.00734483 8
0.33000000 -0.00715452 9
0.34000000 -0.00696421 8
0.35000000 -0.00677389 8
0.36000000 -0.00658401 8
0.37000000 -0.00639752 9
0.38000000 -0.00621476 8
0.39000000 -0.00603544 8
0.40000000 -0.00585930 9
0.41000000 -0.00568611 8
0.42000000 -0.00551565 8
0.43000000 -0.00534774 8
0.44000000 -0.00518220 8
0.45000000 -0.00501888 8
0.46000000 -0.00485763 8
0.47000000 -0.00469831 8
0.48000000 -0.00454082 8
0.49000000 -0.00438502 8
0.50000000 -0.00423083 10
0.51000000 -0.00407815 15
0.52000000 -0.00392689 15
0.53000000 -0.00377698 16
0.54000000 -0.00362832 16
0.55000000 -0.00348087 16
0.56000000 -0.00333455 14
0.57000000 -0.00318931 16
0.58000000 -0.00304508 15
0.59000000 -0.00290182 17
0.60000000 -0.00277227 16
0.61000000 -0.00264995 17
0.62000000 -0.00252950 16
0.63000000 -0.00241082 17
0.64000000 -0.00229383 16
0.65000000 -0.00217846 16
0.66000000 -0.00206463 19
0.67000000 -0.00195227 18
0.68000000 -0.00184132 18
0.69000000 -0.00173171 16
0.70000000 -0.00162339 18
0.71000000 -0.00151631 12
0.72000000 -0.00141041 12
0.73000000 -0.00130564 12
0.74000000 -0.00120196 12
0.75000000 -0.00109932 13
0.76000000 -0.00099769 13
0.77000000 -0.00089702 12
0.78000000 -0.00079728 18
0.79000000 -0.00069843 18
0.80000000 -0.00060044 21
0.81000000 -0.00050327 22
0.82000000 -0.00040690 25
0.83000000 -0.00031130 20
0.84000000 -0.00021644 25
0.85000000 -0.00012229 23
0.86000000 -0.00002883 26
0.87000000 0.00006396 28
0.88000000 0.00015611 30
0.89000000 0.00024336 26
0.90000000 0.00031103 29
0.91000000 0.00037148 28
0.92000000 0.00043144 34
0.93000000 0.00049094 38
0.94000000 0.00054998 35
0.95000000 0.00060393 38
0.96000000 0.00064961 39
0.97000000 0.00069367 30
0.98000000 0.00073006 29
0.99000000 0.00076645 25

choose = 3
0.00000000 -0.01343483 8
0.01000000 -0.01324451 9
0.02000000 -0.01305420 8
0.03000000 -0.01286389 8
0.04000000 -0.01267358 8
0.05000000 -0.01248326 8
0.06000000 -0.01229295 9
0.07000000 -0.01210264 8
0.08000000 -0.01191233 8
0.09000000 -0.01172201 8
0.10000000 -0.01153170 8
0.11000000 -0.01134139 9
0.12000000 -0.01115108 9
0.13000000 -0.01096077 8
0.14000000 -0.01077045 8
0.15000000 -0.01058014 8
0.16000000 -0.01038983 8
0.17000000 -0.01019952 8
0.18000000 -0.01000920 8
0.19000000 -0.00981889 8
0.20000000 -0.00962858 8
0.21000000 -0.00943827 9
0.22000000 -0.00924795 8
0.23000000 -0.00905764 8
0.24000000 -0.00886733 8
0.25000000 -0.00867702 8
0.26000000 -0.00848671 8
0.27000000 -0.00829639 8
0.28000000 -0.00810608 8
0.29000000 -0.00791577 8
0.30000000 -0.00772546 8
0.31000000 -0.00753514 8
0.32000000 -0.00734483 8
0.33000000 -0.00715452 8
0.34000000 -0.00696421 8
0.35000000 -0.00677389 9
0.36000000 -0.00658401 8
0.37000000 -0.00639752 8
0.38000000 -0.00621476 8
0.39000000 -0.00603544 8
0.40000000 -0.00585930 8
0.41000000 -0.00568611 9
0.42000000 -0.00551565 8
0.43000000 -0.00534774 8
0.44000000 -0.00518220 10
0.45000000 -0.00501888 8
0.46000000 -0.00485763 8
0.47000000 -0.00469831 8
0.48000000 -0.00454082 8
0.49000000 -0.00438502 9
0.50000000 -0.00423158 8
0.51000000 -0.00408160 8
0.52000000 -0.00393491 8
0.53000000 -0.00379132 8
0.54000000 -0.00365066 9
0.55000000 -0.00351277 8
0.56000000 -0.00337750 10
0.57000000 -0.00324472 10
0.58000000 -0.00311429 11
0.59000000 -0.00298609 14
0.60000000 -0.00286001 13
0.61000000 -0.00273596 13
0.62000000 -0.00261383 13
0.63000000 -0.00249352 13
0.64000000 -0.00237496 13
0.65000000 -0.00225806 15
0.66000000 -0.00214275 13
0.67000000 -0.00202896 14
0.68000000 -0.00191661 13
0.69000000 -0.00180566 16
0.70000000 -0.00169603 13
0.71000000 -0.00158767 14
0.72000000 -0.00148053 16
0.73000000 -0.00137456 16
0.74000000 -0.00126970 14
0.75000000 -0.00116593 13
0.76000000 -0.00106850 12
0.77000000 -0.00097277 13
0.78000000 -0.00087806 15
0.79000000 -0.00078435 14
0.80000000 -0.00069160 16
0.81000000 -0.00059977 15
0.82000000 -0.00050883 16
0.83000000 -0.00041874 14
0.84000000 -0.00032947 14
0.85000000 -0.00024100 15
0.86000000 -0.00015330 15
0.87000000 -0.00006634 18
0.88000000 0.00001991 25
0.89000000 0.00010546 22
0.90000000 0.00018932 34
0.91000000 0.00024992 36
0.92000000 0.00030983 28
0.93000000 0.00036927 33
0.94000000 0.00042825 34
0.95000000 0.00048678 32
0.96000000 0.00054488 37
0.97000000 0.00059318 41
0.98000000 0.00063541 41
0.99000000 0.00067741 32

choose = 4
0.00000000 -0.01343483 8
0.01000000 -0.01324451 9
0.02000000 -0.01305420 8
0.03000000 -0.01286389 8
0.04000000 -0.01267358 8
0.05000000 -0.01248326 8
0.06000000 -0.01229295 10
0.07000000 -0.01210264 8
0.08000000 -0.01191233 8
0.09000000 -0.01172201 9
0.10000000 -0.01153170 8
0.11000000 -0.01134139 8
0.12000000 -0.01115108 8
0.13000000 -0.01096077 8
0.14000000 -0.01077045 9
0.15000000 -0.01058014 8
0.16000000 -0.01038983 8
0.17000000 -0.01019952 8
0.18000000 -0.01000920 9
0.19000000 -0.00981889 9
0.20000000 -0.00962858 8
0.21000000 -0.00943827 8
0.22000000 -0.00924795 9
0.23000000 -0.00905764 8
0.24000000 -0.00886733 8
0.25000000 -0.00867702 8
0.26000000 -0.00848671 8
0.27000000 -0.00829639 8
0.28000000 -0.00810608 8
0.29000000 -0.00791577 8
0.30000000 -0.00772546 8
0.31000000 -0.00753514 8
0.32000000 -0.00734483 9
0.33000000 -0.00715452 8
0.34000000 -0.00696421 8
0.35000000 -0.00677389 9
0.36000000 -0.00658401 8
0.37000000 -0.00639752 8
0.38000000 -0.00621476 8
0.39000000 -0.00603544 8
0.40000000 -0.00585930 9
0.41000000 -0.00568611 9
0.42000000 -0.00551565 8
0.43000000 -0.00534774 9
0.44000000 -0.00518220 8
0.45000000 -0.00501888 8
0.46000000 -0.00485763 9
0.47000000 -0.00469831 8
0.48000000 -0.00454082 8
0.49000000 -0.00438502 8
0.50000000 -0.00423158 8
0.51000000 -0.00408160 8
0.52000000 -0.00393491 8
0.53000000 -0.00379132 9
0.54000000 -0.00365066 8
0.55000000 -0.00351289 8
0.56000000 -0.00337806 8
0.57000000 -0.00324602 8
0.58000000 -0.00311663 9
0.59000000 -0.00298975 8
0.60000000 -0.00286526 8
0.61000000 -0.00274303 8
0.62000000 -0.00262297 8
0.63000000 -0.00250497 8
0.64000000 -0.00238892 9
0.65000000 -0.00227475 8
0.66000000 -0.00216236 9
0.67000000 -0.00205167 8
0.68000000 -0.00194262 9
0.69000000 -0.00183513 8
0.70000000 -0.00172912 8
0.71000000 -0.00162455 9
0.72000000 -0.00152135 8
0.73000000 -0.00141946 8
0.74000000 -0.00131883 8
0.75000000 -0.00121941 8
0.76000000 -0.00112115 8
0.77000000 -0.00102401 8
0.78000000 -0.00092794 9
0.79000000 -0.00083290 16
0.80000000 -0.00073886 16
0.81000000 -0.00064578 13
0.82000000 -0.00055362 14
0.83000000 -0.00046235 17
0.84000000 -0.00037193 15
0.85000000 -0.00028235 15
0.86000000 -0.00020143 21
0.87000000 -0.00012429 17
0.88000000 -0.00004865 18
0.89000000 0.00002553 19
0.90000000 0.00009831 20
0.91000000 0.00016974 18
0.92000000 0.00023984 22
0.93000000 0.00030868 28
0.94000000 0.00037629 39
0.95000000 0.00043354 39
0.96000000 0.00048944 45
0.97000000 0.00054417 45
0.98000000 0.00059335 41
0.99000000 0.00064052 38

choose = 5
0.00000000 -0.01343483 8
0.01000000 -0.01324451 10
0.02000000 -0.01305420 9
0.03000000 -0.01286389 8
0.04000000 -0.01267358 8
0.05000000 -0.01248326 9
0.06000000 -0.01229295 8
0.07000000 -0.01210264 8
0.08000000 -0.01191233 9
0.09000000 -0.01172201 8
0.10000000 -0.01153170 8
0.11000000 -0.01134139 8
0.12000000 -0.01115108 8
0.13000000 -0.01096077 9
0.14000000 -0.01077045 8
0.15000000 -0.01058014 8
0.16000000 -0.01038983 8
0.17000000 -0.01019952 8
0.18000000 -0.01000920 8
0.19000000 -0.00981889 8
0.20000000 -0.00962858 10
0.21000000 -0.00943827 8
0.22000000 -0.00924795 8
0.23000000 -0.00905764 9
0.24000000 -0.00886733 9
0.25000000 -0.00867702 8
0.26000000 -0.00848671 9
0.27000000 -0.00829639 8
0.28000000 -0.00810608 8
0.29000000 -0.00791577 9
0.30000000 -0.00772546 8
0.31000000 -0.00753514 8
