choose = 2
0 -0.0112514 11
0.01 -0.011111 15
0.02 -0.0109707 16
0.03 -0.0108303 18
0.04 -0.01069 16
0.05 -0.0105496 15
0.06 -0.0104093 16
0.07 -0.0102689 15
0.08 -0.0101286 15
0.09 -0.00998821 15
0.1 -0.00984786 14
0.11 -0.00970751 14
0.12 -0.00956716 15
0.13 -0.00942681 15
0.14 -0.00928646 17
0.15 -0.00914611 15
0.16 -0.00900576 17
0.17 -0.00886541 15
0.18 -0.00872506 16
0.19 -0.00858471 16
0.2 -0.00844436 16
0.21 -0.00830401 15
0.22 -0.00816366 15
0.23 -0.0080233 14
0.24 -0.00788352 14
0.25 -0.00774595 15
0.26 -0.00761048 14
0.27 -0.00747686 14
0.28 -0.00734489 15
0.29 -0.00721442 14
0.3 -0.00708528 17
0.31 -0.00695735 16
0.32 -0.00683052 18
0.33 -0.00670468 14
0.34 -0.00657975 14
0.35 -0.00645565 18
0.36 -0.00633231 15
0.37 -0.00620967 15
0.38 -0.00608767 15
0.39 -0.00596627 14
0.4 -0.00584542 14
0.41 -0.00572507 15
0.42 -0.0056052 15
0.43 -0.00548577 22
0.44 -0.00536676 19
0.45 -0.00524812 15
0.46 -0.00512984 14
0.47 -0.00501189 15
0.48 -0.00489426 14
0.49 -0.00477693 14
0.5 -0.00465987 14
0.51 -0.00454307 15
0.52 -0.00442652 58
0.53 -0.0043102 30
0.54 -0.0041941 25
0.55 -0.00407821 26
0.56 -0.00396251 24
0.57 -0.003847 68
0.58 -0.00373166 27
0.59 -0.00361649 27
0.6 -0.00350148 21
0.61 -0.00338662 66
0.62 -0.00327191 22
0.63 -0.00315733 23
0.64 -0.00304288 20
0.65 -0.00292856 47
0.66 -0.00281435 22
0.67 -0.00270026 22
0.68 -0.00258628 23
0.69 -0.0024724 53
0.7 -0.00235862 32
0.71 -0.00224493 32
0.72 -0.00213133 58
0.73 -0.00201783 25
0.74 -0.0019044 23
0.75 -0.00179106 24
0.76 -0.00167779 78
0.77 -0.0015646 33
0.78 -0.00145148 30
0.79 -0.00133843 69
0.8 -0.00122545 61
0.81 -0.00111252 80
0.82 -0.000999664 59
0.83 -0.000886863 51
0.84 -0.000774119 65
0.85 -0.000661429 41
0.86 -0.000548793 65
0.87 -0.000436208 49
0.88 -0.000323673 65
0.89 -0.000211185 85
0.9 -0.000139146 93
0.91 -7.63406e-05 179
0.92 -2.10126e-05 84
0.93 3.2467e-05 93
0.94 8.41574e-05 112
0.95 0.000134115 117
0.96 0.000182394 143
0.97 0.000210989 131
0.98 0.000232684 127
0.99 0.000254327 151

choose = 3
0 -0.0112514 8
0.01 -0.011111 17
0.02 -0.0109707 16
0.03 -0.0108303 17
0.04 -0.01069 14
0.05 -0.0105496 16
0.06 -0.0104093 15
0.07 -0.0102689 19
0.08 -0.0101286 20
0.09 -0.00998821 14
0.1 -0.00984786 13
0.11 -0.00970751 15
0.12 -0.00956716 14
0.13 -0.00942681 16
0.14 -0.00928646 15
0.15 -0.00914611 16
0.16 -0.00900576 15
0.17 -0.00886541 16
0.18 -0.00872506 14
0.19 -0.00858471 15
0.2 -0.00844436 14
0.21 -0.00830401 14
0.22 -0.00816366 16
0.23 -0.0080233 15
0.24 -0.00788352 15
0.25 -0.00774595 17
0.26 -0.00761048 14
0.27 -0.00747686 17
0.28 -0.00734489 17
0.29 -0.00721442 16
0.3 -0.00708528 14
0.31 -0.00695735 16
0.32 -0.00683052 15
0.33 -0.00670468 17
0.34 -0.00657975 15
0.35 -0.00645565 17
0.36 -0.00633231 15
0.37 -0.00620967 14
0.38 -0.00608767 17
0.39 -0.00596627 17
0.4 -0.00584542 16
0.41 -0.00572507 16
0.42 -0.0056052 17
0.43 -0.00548577 16
0.44 -0.00536676 16
0.45 -0.00524812 15
0.46 -0.00512984 15
0.47 -0.00501189 16
0.48 -0.00489426 16
0.49 -0.00477693 15
0.5 -0.00465987 15
0.51 -0.00454307 16
0.52 -0.00442676 15
0.53 -0.00431117 14
0.54 -0.00419624 18
0.55 -0.00408194 16
0.56 -0.00396825 16
0.57 -0.00385513 17
0.58 -0.00374254 15
0.59 -0.00363047 16
0.6 -0.00351888 14
0.61 -0.00340776 15
0.62 -0.00329707 15
0.63 -0.00318681 17
0.64 -0.00307694 15
0.65 -0.00296746 19
0.66 -0.00285834 21
0.67 -0.00274957 18
0.68 -0.00264113 17
0.69 -0.002533 14
0.7 -0.00242519 17
0.71 -0.00231766 14
0.72 -0.00221041 16
0.73 -0.00210343 64
0.74 -0.0019967 46
0.75 -0.00189023 30
0.76 -0.00178399 42
0.77 -0.00167797 42
0.78 -0.00157218 54
0.79 -0.00146659 33
0.8 -0.00136121 44
0.81 -0.00125603 52
0.82 -0.00115103 35
0.83 -0.00104621 47
0.84 -0.000941569 42
