choose = 2
0.0001 0.00010000 0.00048829 43
0.00020000 0.00020000 0.00044730 39
0.00030000 0.00030000 0.00049486 42
0.00040000 0.00040000 0.00045660 48
0.00050000 0.00050000 0.00042298 49
0.00060000 0.00060000 0.00039688 61
0.00070000 0.00070000 0.00037831 39
0.00080000 0.00080000 0.00036676 124
0.00090000 0.00090000 0.00035933 55
0.00100000 0.00100000 0.00035855 81
0.00110000 0.00110000 0.00036418 79
0.00120000 0.00120000 0.00034456 90
0.00130000 0.00130000 0.00032851 93
0.00140000 0.00140000 0.00031940 100
0.00150000 0.00150000 0.00030440 113
0.00160000 0.00160000 0.00029063 119
0.00170000 0.00170000 0.00027810 121
0.00180000 0.00180000 0.00026680 120
0.00190000 0.00190000 0.00025674 152
0.00200000 0.00200000 0.00024791 143
0.00210000 0.00210000 0.00024031 151
0.00220000 0.00220000 0.00023395 133
0.00230000 0.00230000 0.00022882 130
0.00240000 0.00240000 0.00022317 120
0.00250000 0.00250000 0.00021320 143
0.00260000 0.00260000 0.00020694 153
0.00270000 0.00270000 0.00020439 87
0.00280000 0.00280000 0.00020554 135
0.00290000 0.00290000 0.00021040 144
0.00300000 0.00300000 0.00021680 129
0.00310000 0.00310000 0.00022486 160
0.00320000 0.00320000 0.00022517 151
0.00330000 0.00330000 0.00022449 174
0.00340000 0.00340000 0.00022774 156
0.00350000 0.00350000 0.00023635 150
0.00360000 0.00360000 0.00024509 142
0.00370000 0.00370000 0.00025099 3151
0.00380000 0.00380000 0.00025804 166
0.00390000 0.00390000 0.00026625 342
0.00400000 0.00400000 0.00027561 212
0.00410000 0.00410000 0.00028613 149
0.00420000 0.00420000 0.00029780 139
0.00430000 0.00430000 0.00031063 146
0.00440000 0.00440000 0.00032462 147
0.00450000 0.00450000 0.00033878 161
0.00460000 0.00460000 0.00035332 148
0.00470000 0.00470000 0.00036880 164
0.00480000 0.00480000 0.00038521 139
0.00490000 0.00490000 0.00040255 143
0.00500000 0.00500000 0.00042082 140
0.00510000 0.00510000 0.00044002 168
0.00520000 0.00520000 0.00046015 145
0.00530000 0.00530000 0.00048121 154
0.00540000 0.00540000 0.00050320 141
0.00550000 0.00550000 0.00052546 120
0.00560000 0.00560000 0.00053961 111
0.00570000 0.00570000 0.00055514 127
0.00580000 0.00580000 0.00056779 112
0.00590000 0.00590000 0.00057027 132
0.00600000 0.00600000 0.00057495 94
0.00610000 0.00610000 0.00058184 93
0.00620000 0.00620000 0.00059094 113
0.00630000 0.00630000 0.00060224 202
0.00640000 0.00640000 0.00061575 112
0.00650000 0.00650000 0.00063146 94
