choose = 2
0.00000000 -0.00481365 264
0.01000000 -0.00474838 278
0.02000000 -0.00468312 277
0.03000000 -0.00461786 276
0.04000000 -0.00455260 277
0.05000000 -0.00448733 279
0.06000000 -0.00442207 278
0.07000000 -0.00435681 280
0.08000000 -0.00429155 280
0.09000000 -0.00422628 277
0.10000000 -0.00416102 277
0.11000000 -0.00409576 279
0.12000000 -0.00403050 277
0.13000000 -0.00396524 274
0.14000000 -0.00389997 274
0.15000000 -0.00383471 274
0.16000000 -0.00376945 274
0.17000000 -0.00370419 273
0.18000000 -0.00363892 273
0.19000000 -0.00357375 275
0.20000000 -0.00350919 273
0.21000000 -0.00344522 276
0.22000000 -0.00338178 323
0.23000000 -0.00331879 317
0.24000000 -0.00325623 326
0.25000000 -0.00319470 326
0.26000000 -0.00313366 305
0.27000000 -0.00307304 307
0.28000000 -0.00301281 320
0.29000000 -0.00295291 315
0.30000000 -0.00289333 316
0.31000000 -0.00283402 319
0.32000000 -0.00277497 316
0.33000000 -0.00271615 320
0.34000000 -0.00265753 306
0.35000000 -0.00259911 321
0.36000000 -0.00254086 316
0.37000000 -0.00248277 317
0.38000000 -0.00242483 321
0.39000000 -0.00236703 335
0.40000000 -0.00230935 331
0.41000000 -0.00225180 322
0.42000000 -0.00219435 321
0.43000000 -0.00213700 317
0.44000000 -0.00207975 331
0.45000000 -0.00202258 352
0.46000000 -0.00196550 340
0.47000000 -0.00190849 360
0.48000000 -0.00185156 350
0.49000000 -0.00179469 340
0.50000000 -0.00173789 354
0.51000000 -0.00168115 342
0.52000000 -0.00162447 346
0.53000000 -0.00156783 321
0.54000000 -0.00151125 358
0.55000000 -0.00145472 352
0.56000000 -0.00139823 327
0.57000000 -0.00134179 346
0.58000000 -0.00128538 359
0.59000000 -0.00122902 368
0.60000000 -0.00117985 359
0.61000000 -0.00113228 332
0.62000000 -0.00108478 355
0.63000000 -0.00103734 345
0.64000000 -0.00098997 354
0.65000000 -0.00094266 348
0.66000000 -0.00089541 343
0.67000000 -0.00084822 351
0.68000000 -0.00080108 346
0.69000000 -0.00075399 353
0.70000000 -0.00070694 362
0.71000000 -0.00065995 347
0.72000000 -0.00061300 338
0.73000000 -0.00056609 326
0.74000000 -0.00051922 353
0.75000000 -0.00047240 370
0.76000000 -0.00042561 345
0.77000000 -0.00037886 363
0.78000000 -0.00033214 343
0.79000000 -0.00028546 348
0.80000000 -0.00023881 368
0.81000000 -0.00019219 358
0.82000000 -0.00014560 352
0.83000000 -0.00009904 367
0.84000000 -0.00005251 351
0.85000000 -0.00000600 349
0.86000000 0.00004048 371
0.87000000 0.00008693 370
0.88000000 0.00013336 352
0.89000000 0.00017977 363
0.90000000 0.00022580 385
