choose = 2
0 -0.00481365 19
0.01 -0.00474838 61
0.02 -0.00468312 72
0.03 -0.00461786 76
0.04 -0.0045526 80
0.05 -0.00448733 78
0.06 -0.00442207 70
0.07 -0.00435681 77
0.08 -0.00429155 86
0.09 -0.00422628 72
0.1 -0.00416102 73
0.11 -0.00409576 85
0.12 -0.0040305 77
0.13 -0.00396524 84
0.14 -0.00389997 72
0.15 -0.00383471 78
0.16 -0.00376945 83
0.17 -0.00370419 81
0.18 -0.00363892 85
0.19 -0.00357375 74
0.2 -0.00350919 85
0.21 -0.00344522 113
0.22 -0.00338178 107
0.23 -0.00331879 104
0.24 -0.00325623 109
0.25 -0.0031947 112
0.26 -0.00313366 132
0.27 -0.00307304 101
0.28 -0.00301281 114
0.29 -0.00295291 116
0.3 -0.00289333 110
0.31 -0.00283402 105
0.32 -0.00277497 116
0.33 -0.00271615 114
0.34 -0.00265753 116
0.35 -0.00259911 109
0.36 -0.00254086 110
0.37 -0.00248277 101
0.38 -0.00242483 106
0.39 -0.00236703 105
0.4 -0.00230935 166
0.41 -0.0022518 173
0.42 -0.00219435 161
0.43 -0.002137 143
0.44 -0.00207975 184
0.45 -0.00202258 170
0.46 -0.0019655 139
0.47 -0.00190849 169
0.48 -0.00185156 174
0.49 -0.00179469 141
0.5 -0.00173789 171
0.51 -0.00168115 150
0.52 -0.00162447 209
0.53 -0.00156783 147
0.54 -0.00151125 178
0.55 -0.00145472 161
0.56 -0.00139823 206
0.57 -0.00134179 155
0.58 -0.00128538 191
0.59 -0.00122902 173
0.6 -0.00117985 149
0.61 -0.00113228 195
0.62 -0.00108478 165
0.63 -0.00103734 180
0.64 -0.000989973 208
0.65 -0.000942663 177
0.66 -0.000895413 182
0.67 -0.000848218 184
0.68 -0.000801076 218
0.69 -0.000753985 168
0.7 -0.000706943 168
0.71 -0.000659948 172
0.72 -0.000612998 187
0.73 -0.00056609 166
0.74 -0.000519224 194
0.75 -0.000472398 208
0.76 -0.000425609 201
0.77 -0.000378857 168
0.78 -0.00033214 205
0.79 -0.000285457 196
0.8 -0.000238806 174
0.81 -0.000192187 208
0.82 -0.000145598 214
0.83 -9.9038e-05 196
0.84 -5.2506e-05 197
0.85 -6.0011e-06 257
0.86 4.04777e-05 269
0.87 8.69313e-05 247
0.88 0.000133361 303
0.89 0.000179766 348
0.9 0.000225805 412
0.91 0.000258773 421
0.92 0.000287118 520
0.93 0.000314764 492
0.94 0.000341736 543
0.95 0.000368053 540
0.96 0.000393736 570
0.97 0.000418805 620
0.98 0.000443279 520
0.99 0.000456297 626

choose = 3
0 -0.00481365 20
0.01 -0.00474838 65
0.02 -0.00468312 75
0.03 -0.00461786 80
0.04 -0.0045526 79
0.05 -0.00448733 77
0.06 -0.00442207 77
0.07 -0.00435681 83
0.08 -0.00429155 75
0.09 -0.00422628 77
0.1 -0.00416102 75
0.11 -0.00409576 76
0.12 -0.0040305 77
0.13 -0.00396524 81
0.14 -0.00389997 80
0.15 -0.00383471 80
0.16 -0.00376945 80
0.17 -0.00370419 71
0.18 -0.00363892 87
0.19 -0.00357375 73
