choose = 2
0.0001 0.00010000 0.00052521 76
0.00020000 0.00020000 0.00051611 33
0.00030000 0.00030000 0.00051766 40
0.00040000 0.00040000 0.00052579 81
0.00050000 0.00050000 0.00050719 47
0.00060000 0.00060000 0.00049145 49
0.00070000 0.00070000 0.00047857 49
0.00080000 0.00080000 0.00046048 70
0.00090000 0.00090000 0.00044121 53
0.00100000 0.00100000 0.00042321 75
0.00110000 0.00110000 0.00040648 49
0.00120000 0.00120000 0.00039102 48
0.00130000 0.00130000 0.00037683 50
0.00140000 0.00140000 0.00036391 92
0.00150000 0.00150000 0.00035226 59
0.00160000 0.00160000 0.00034189 92
0.00170000 0.00170000 0.00032907 85
0.00180000 0.00180000 0.00031569 93
0.00190000 0.00190000 0.00030536 86
0.00200000 0.00200000 0.00029809 63
0.00210000 0.00210000 0.00029387 85
0.00220000 0.00220000 0.00029270 110
0.00230000 0.00230000 0.00029459 103
0.00240000 0.00240000 0.00028644 101
0.00250000 0.00250000 0.00029411 126
0.00260000 0.00260000 0.00029600 112
0.00270000 0.00270000 0.00029049 130
0.00280000 0.00280000 0.00028673 101
0.00290000 0.00290000 0.00028474 70
0.00300000 0.00300000 0.00028452 107
0.00310000 0.00310000 0.00028605 104
0.00320000 0.00320000 0.00028935 102
0.00330000 0.00330000 0.00029441 124
0.00340000 0.00340000 0.00030123 129
0.00350000 0.00350000 0.00030981 111
0.00360000 0.00360000 0.00032008 132
0.00370000 0.00370000 0.00033032 118
0.00380000 0.00380000 0.00034202 116
0.00390000 0.00390000 0.00035519 122
0.00400000 0.00400000 0.00036981 118
0.00410000 0.00410000 0.00038588 112
0.00420000 0.00420000 0.00040342 107
0.00430000 0.00430000 0.00041572 135
0.00440000 0.00440000 0.00043258 119
0.00450000 0.00450000 0.00042067 111
0.00460000 0.00460000 0.00040637 98
0.00470000 0.00470000 0.00039923 92
0.00480000 0.00480000 0.00039963 55
0.00490000 0.00490000 0.00040759 84
0.00500000 0.00500000 0.00042311 76
0.00510000 0.00510000 0.00044617 73
0.00520000 0.00520000 0.00047679 77
0.00530000 0.00530000 0.00049412 74
0.00540000 0.00540000 0.00051772 97
0.00550000 0.00550000 0.00053944 74
0.00560000 0.00560000 0.00054739 86
0.00570000 0.00570000 0.00055666 56
0.00580000 0.00580000 0.00056725 67
0.00590000 0.00590000 0.00057918 65
0.00600000 0.00600000 0.00059242 47
0.00610000 0.00610000 0.00060699 79
0.00620000 0.00620000 0.00062289 78
0.00630000 0.00630000 0.00064011 49
0.00640000 0.00640000 0.00065866 49
0.00650000 0.00650000 0.00067853 49
0.00660000 0.00660000 0.00069972 50
0.00670000 0.00670000 0.00069260 42
0.00680000 0.00680000 0.00068649 43
0.00690000 0.00690000 0.00068452 40
0.00700000 0.00700000 0.00068669 63
0.00710000 0.00710000 0.00069301 44
0.00720000 0.00720000 0.00070346 40
0.00730000 0.00730000 0.00071806 41
0.00740000 0.00740000 0.00073654 44
0.00750000 0.00750000 0.00075688 35
0.00760000 0.00760000 0.00078169 70
0.00770000 0.00770000 0.00081099 38
0.00780000 0.00780000 0.00084477 36
0.00790000 0.00790000 0.00088302 34
0.00800000 0.00800000 0.00092576 37
0.00810000 0.00810000 0.00096173 85
0.00820000 0.00820000 0.00097420 29
0.00830000 0.00830000 0.00100105 28
0.00840000 0.00840000 0.00104228 60
0.00850000 0.00850000 0.00109788 28
0.00860000 0.00860000 0.00116785 30
0.00870000 0.00870000 0.00125220 57
0.00880000 0.00880000 0.00132046 28
0.00890000 0.00890000 0.00142993 18
0.00900000 0.00900000 0.00158382 17

choose = 3
0.00010000 0.00010000 0.00042115 103
0.00020000 0.00020000 0.00040694 46
0.00030000 0.00030000 0.00040086 48
0.00040000 0.00040000 0.00039387 58
0.00050000 0.00050000 0.00038898 94
0.00060000 0.00060000 0.00037954 91
0.00070000 0.00070000 0.00037160 86
0.00080000 0.00080000 0.00036641 90
0.00090000 0.00090000 0.00035982 84
0.00100000 0.00100000 0.00034904 99
0.00110000 0.00110000 0.00033919 94
0.00120000 0.00120000 0.00033028 105
0.00130000 0.00130000 0.00032231 105
0.00140000 0.00140000 0.00031527 115
0.00150000 0.00150000 0.00030916 126
0.00160000 0.00160000 0.00030399 122
0.00170000 0.00170000 0.00029976 126
0.00180000 0.00180000 0.00028912 138
0.00190000 0.00190000 0.00027991 218
0.00200000 0.00200000 0.00027374 173
0.00210000 0.00210000 0.00027059 251
0.00220000 0.00220000 0.00027047 230
0.00230000 0.00230000 0.00027339 269
0.00240000 0.00240000 0.00027368 254
0.00250000 0.00250000 0.00026965 250
0.00260000 0.00260000 0.00027063 244
0.00270000 0.00270000 0.00026696 258
0.00280000 0.00280000 0.00026497 246
0.00290000 0.00290000 0.00026468 281
0.00300000 0.00300000 0.00026609 265
0.00310000 0.00310000 0.00026917 271
0.00320000 0.00320000 0.00027151 276
0.00330000 0.00330000 0.00027557 303
0.00340000 0.00340000 0.00027806 321
0.00350000 0.00350000 0.00028084 299
0.00360000 0.00360000 0.00028474 281
0.00370000 0.00370000 0.00028873 315
0.00380000 0.00380000 0.00029348 344
0.00390000 0.00390000 0.00029916 303
0.00400000 0.00400000 0.00030575 285
0.00410000 0.00410000 0.00031327 252
0.00420000 0.00420000 0.00031638 237
0.00430000 0.00430000 0.00031974 204
0.00440000 0.00440000 0.00032587 187
0.00450000 0.00450000 0.00033017 170
0.00460000 0.00460000 0.00033424 149
0.00470000 0.00470000 0.00033631 153
0.00480000 0.00480000 0.00033710 105
0.00490000 0.00490000 0.00034544 113
0.00500000 0.00500000 0.00036060 138
0.00510000 0.00510000 0.00037265 114
0.00520000 0.00520000 0.00038612 106
0.00530000 0.00530000 0.00038749 110
0.00540000 0.00540000 0.00039017 101
0.00550000 0.00550000 0.00039414 99
0.00560000 0.00560000 0.00039941 94
0.00570000 0.00570000 0.00040599 93
0.00580000 0.00580000 0.00041386 87
0.00590000 0.00590000 0.00042304 94
0.00600000 0.00600000 0.00043351 114
0.00610000 0.00610000 0.00044529 90
0.00620000 0.00620000 0.00045836 82
0.00630000 0.00630000 0.00047274 55
0.00640000 0.00640000 0.00048841 86
0.00650000 0.00650000 0.00050539 53
0.00660000 0.00660000 0.00052367 46
0.00670000 0.00670000 0.00054277 52
0.00680000 0.00680000 0.00056112 54
0.00690000 0.00690000 0.00058129 44
0.00700000 0.00700000 0.00059206 84
0.00710000 0.00710000 0.00059686 41
0.00720000 0.00720000 0.00060579 55
0.00730000 0.00730000 0.00061885 78
0.00740000 0.00740000 0.00063604 46
0.00750000 0.00750000 0.00065717 56
0.00760000 0.00760000 0.00068104 40
0.00770000 0.00770000 0.00070938 40
0.00780000 0.00780000 0.00074220 38
0.00790000 0.00790000 0.00077950 79
0.00800000 0.00800000 0.00082126 43
0.00810000 0.00810000 0.00086564 38
0.00820000 0.00820000 0.00089905 35
0.00830000 0.00830000 0.00094426 33
0.00840000 0.00840000 0.00100128 61
0.00850000 0.00850000 0.00106949 34
0.00860000 0.00860000 0.00113736 33
0.00870000 0.00870000 0.00121954 48
0.00880000 0.00880000 0.00131512 31
0.00890000 0.00890000 0.00142993 17
0.00900000 0.00900000 0.00158382 17

choose = 4
0.00010000 0.00010000 0.00036750 76
0.00020000 0.00020000 0.00035997 55
0.00030000 0.00030000 0.00035078 73
0.00040000 0.00040000 0.00034369 99
0.00050000 0.00050000 0.00033871 77
0.00060000 0.00060000 0.00033278 56
0.00070000 0.00070000 0.00032872 83
0.00080000 0.00080000 0.00032349 96
0.00090000 0.00090000 0.00032039 101
0.00100000 0.00100000 0.00031792 112
0.00110000 0.00110000 0.00031139 120
0.00120000 0.00120000 0.00030687 134
0.00130000 0.00130000 0.00029902 175
0.00140000 0.00140000 0.00029210 151
0.00150000 0.00150000 0.00028612 172
0.00160000 0.00160000 0.00028108 173
0.00170000 0.00170000 0.00027697 209
0.00180000 0.00180000 0.00027379 232
0.00190000 0.00190000 0.00026962 233
0.00200000 0.00200000 0.00026523 286
0.00210000 0.00210000 0.00026323 334
0.00220000 0.00220000 0.00026094 875
0.00230000 0.00230000 0.00025788 920
0.00240000 0.00240000 0.00025514 883
0.00250000 0.00250000 0.00025350 896
0.00260000 0.00260000 0.00025297 836
