choose = 2
0.0003 0.00338373 0.00030000 332
0.00040000 0.00480818 0.00040000 154
0.00050000 0.00533276 0.00050000 251
0.00060000 0.00605313 0.00060000 227
0.00070000 0.00717097 0.00070000 146
0.00080000 0.00766424 0.00080000 145
0.00090000 0.00794100 0.00090000 135
0.00100000 0.00829689 0.00100000 113
0.00110000 0.00850337 0.00110000 161
0.00120000 0.00864016 0.00120000 108
0.00130000 0.00877496 0.00130000 118
0.00140000 0.00887633 0.00140000 27
0.00150000 0.00894914 0.00150000 22
0.00160000 0.00900909 0.00160000 102
0.00170000 0.00901743 0.00161518 23
0.00180000 0.00901743 0.00161518 24
0.00190000 0.00901743 0.00161518 27

choose = 3
0.00030000 0.00391361 0.00030000 1015
0.00040000 0.00560981 0.00040000 267
0.00050000 0.00646906 0.00050000 208
0.00060000 0.00714075 0.00060000 232
0.00070000 0.00766859 0.00070000 191
0.00080000 0.00795043 0.00080000 186
0.00090000 0.00820242 0.00090000 176
0.00100000 0.00839796 0.00100000 174
0.00110000 0.00854758 0.00110000 139
0.00120000 0.00867773 0.00120000 150
0.00130000 0.00878526 0.00130000 125
0.00140000 0.00887633 0.00140000 27
0.00150000 0.00894914 0.00150000 23
0.00160000 0.00900909 0.00160000 113
0.00170000 0.00901743 0.00161518 17
0.00180000 0.00901743 0.00161518 15
0.00190000 0.00901743 0.00161518 17

choose = 4
0.00030000 0.00466013 0.00030000 1482
0.00040000 0.00597129 0.00040000 310
0.00050000 0.00677776 0.00050000 238
0.00060000 0.00743279 0.00060000 215
0.00070000 0.00779003 0.00070000 160
0.00080000 0.00803270 0.00080000 187
0.00090000 0.00823730 0.00090000 209
0.00100000 0.00842881 0.00100000 217
0.00110000 0.00856885 0.00110000 164
0.00120000 0.00868480 0.00120000 314
0.00130000 0.00878526 0.00130000 136
0.00140000 0.00887633 0.00140000 26
0.00150000 0.00894914 0.00150000 24
0.00160000 0.00900909 0.00160000 139
0.00170000 0.00901743 0.00161518 17
0.00180000 0.00901743 0.00161518 17
0.00190000 0.00901743 0.00161518 16

choose = 5
0.00030000 0.00488962 0.00030000 5250
0.00040000 0.00615812 0.00040000 1048
0.00050000 0.00694946 0.00050000 256
0.00060000 0.00745400 0.00060000 200
0.00070000 0.00780304 0.00070000 239
0.00080000 0.00805294 0.00080000 173
0.00090000 0.00825506 0.00090000 234
0.00100000 0.00842881 0.00100000 232
0.00110000 0.00856885 0.00110000 194
0.00120000 0.00868482 0.00120000 204
0.00130000 0.00878526 0.00130000 129
0.00140000 0.00887633 0.00140000 25
0.00150000 0.00894914 0.00150000 24
0.00160000 0.00900909 0.00160000 135
0.00170000 0.00901743 0.00161518 25
0.00180000 0.00901743 0.00161518 17
0.00190000 0.00901743 0.00161518 18

choose = 6
0.00030000 0.00506410 0.00030000 10390
0.00040000 0.00631192 0.00040000 1141
0.00050000 0.00699041 0.00050000 316
0.00060000 0.00746390 0.00060000 247
0.00070000 0.00780556 0.00070000 272
0.00080000 0.00805294 0.00080000 203
0.00090000 0.00825506 0.00090000 269
0.00100000 0.00842881 0.00100000 190
0.00110000 0.00856885 0.00110000 200
0.00120000 0.00868482 0.00120000 201
0.00130000 0.00878526 0.00130000 153
