choose = 2
0.0001 0.00010000 0.00047558 494
0.00020000 0.00020000 0.00048117 468
0.00030000 0.00030000 0.00052541 603
0.00040000 0.00040000 0.00058335 972
0.00050000 0.00050000 0.00054959 612
0.00060000 0.00060000 0.00053546 595
0.00070000 0.00070000 0.00053459 656
0.00080000 0.00080000 0.00051331 392
0.00090000 0.00090000 0.00050373 516
0.00100000 0.00100000 0.00050585 473
0.00110000 0.00110000 0.00051967 596
0.00120000 0.00120000 0.00052540 571
0.00130000 0.00130000 0.00051499 511
0.00140000 0.00140000 0.00050642 525
0.00150000 0.00150000 0.00049968 420
0.00160000 0.00160000 0.00049479 382
0.00170000 0.00170000 0.00049174 339
0.00180000 0.00180000 0.00049053 416
0.00190000 0.00190000 0.00049117 341
0.00200000 0.00200000 0.00049364 369
0.00210000 0.00210000 0.00049795 333
0.00220000 0.00220000 0.00050410 380
0.00230000 0.00230000 0.00051210 393
0.00240000 0.00240000 0.00052193 353
0.00250000 0.00250000 0.00053361 317
0.00260000 0.00260000 0.00054712 326
0.00270000 0.00270000 0.00056248 284
0.00280000 0.00280000 0.00057518 289
0.00290000 0.00290000 0.00057658 356
0.00300000 0.00300000 0.00058424 312
0.00310000 0.00310000 0.00059815 218
0.00320000 0.00320000 0.00061832 227
0.00330000 0.00330000 0.00063706 261
0.00340000 0.00340000 0.00066248 237
0.00350000 0.00350000 0.00069982 229
0.00360000 0.00360000 0.00068283 232
0.00370000 0.00370000 0.00073702 208
0.00380000 0.00380000 0.00068959 173
0.00390000 0.00390000 0.00069159 188
0.00400000 0.00400000 0.00070438 140
0.00410000 0.00410000 0.00077953 198
0.00420000 0.00420000 0.00085326 194
0.00430000 0.00430000 0.00093028 192
0.00440000 0.00440000 0.00103184 174
0.00450000 0.00450000 0.00106312 168
0.00460000 0.00460000 0.00112792 132
0.00470000 0.00470000 0.00132590 125
0.00480000 0.00480000 0.00165442 81

choose = 3
0.00010000 0.00010000 0.00039092 511
0.00020000 0.00020000 0.00042393 703
0.00030000 0.00030000 0.00041490 816
0.00040000 0.00040000 0.00041014 562
0.00050000 0.00050000 0.00041015 642
0.00060000 0.00060000 0.00040657 529
0.00070000 0.00070000 0.00040271 538
0.00080000 0.00080000 0.00039977 597
0.00090000 0.00090000 0.00039666 627
0.00100000 0.00100000 0.00039478 580
0.00110000 0.00110000 0.00039414 577
0.00120000 0.00120000 0.00039474 596
0.00130000 0.00130000 0.00039658 533
0.00140000 0.00140000 0.00039965 480
0.00150000 0.00150000 0.00040396 570
0.00160000 0.00160000 0.00040951 692
0.00170000 0.00170000 0.00041621 634
0.00180000 0.00180000 0.00042295 608
0.00190000 0.00190000 0.00042975 609
0.00200000 0.00200000 0.00043318 648
0.00210000 0.00210000 0.00043844 621
0.00220000 0.00220000 0.00044553 537
0.00230000 0.00230000 0.00045445 522
0.00240000 0.00240000 0.00046521 563
0.00250000 0.00250000 0.00047780 537
0.00260000 0.00260000 0.00049061 418
0.00270000 0.00270000 0.00050009 502
0.00280000 0.00280000 0.00051002 514
0.00290000 0.00290000 0.00052040 434
0.00300000 0.00300000 0.00053085 535
0.00310000 0.00310000 0.00053841 418
0.00320000 0.00320000 0.00054904 395
0.00330000 0.00330000 0.00055757 326
0.00340000 0.00340000 0.00056753 370
0.00350000 0.00350000 0.00058111 343
0.00360000 0.00360000 0.00059832 339
0.00370000 0.00370000 0.00061916 281
0.00380000 0.00380000 0.00061626 211
0.00390000 0.00390000 0.00062895 217
0.00400000 0.00400000 0.00065173 229
0.00410000 0.00410000 0.00069771 214
0.00420000 0.00420000 0.00073628 242
0.00430000 0.00430000 0.00079850 201
0.00440000 0.00440000 0.00088437 163
0.00450000 0.00450000 0.00097932 194
0.00460000 0.00460000 0.00108349 109
0.00470000 0.00470000 0.00130846 75
0.00480000 0.00480000 0.00165442 87

choose = 4
0.00010000 0.00010000 0.00036298 570
0.00020000 0.00020000 0.00035797 544
0.00030000 0.00030000 0.00035395 513
0.00040000 0.00040000 0.00035090 473
0.00050000 0.00050000 0.00034884 495
0.00060000 0.00060000 0.00034776 462
0.00070000 0.00070000 0.00034729 469
0.00080000 0.00080000 0.00034758 466
0.00090000 0.00090000 0.00034891 478
0.00100000 0.00100000 0.00035128 419
0.00110000 0.00110000 0.00035469 476
0.00120000 0.00120000 0.00035914 535
0.00130000 0.00130000 0.00036463 499
0.00140000 0.00140000 0.00036874 547
0.00150000 0.00150000 0.00037204 502
0.00160000 0.00160000 0.00037607 578
0.00170000 0.00170000 0.00038071 455
0.00180000 0.00180000 0.00038673 514
0.00190000 0.00190000 0.00039415 661
0.00200000 0.00200000 0.00040296 672
0.00210000 0.00210000 0.00041159 645
0.00220000 0.00220000 0.00041981 568
0.00230000 0.00230000 0.00042902 576
0.00240000 0.00240000 0.00043700 410
0.00250000 0.00250000 0.00044516 509
0.00260000 0.00260000 0.00045482 501
0.00270000 0.00270000 0.00046599 539
0.00280000 0.00280000 0.00047680 604
0.00290000 0.00290000 0.00048471 522
0.00300000 0.00300000 0.00049371 471
0.00310000 0.00310000 0.00050386 460
0.00320000 0.00320000 0.00051517 359
0.00330000 0.00330000 0.00052543 351
0.00340000 0.00340000 0.00053367 354
0.00350000 0.00350000 0.00054548 392
0.00360000 0.00360000 0.00056088 402
0.00370000 0.00370000 0.00057987 234
0.00380000 0.00380000 0.00059480 189
0.00390000 0.00390000 0.00060725 257
0.00400000 0.00400000 0.00064104 177
0.00410000 0.00410000 0.00066861 180
0.00420000 0.00420000 0.00071671 253
0.00430000 0.00430000 0.00077307 168
0.00440000 0.00440000 0.00085231 171
0.00450000 0.00450000 0.00095444 68
0.00460000 0.00460000 0.00108349 80
0.00470000 0.00470000 0.00130846 81
0.00480000 0.00480000 0.00165442 73

choose = 5
0.00010000 0.00010000 0.00033366 419
0.00020000 0.00020000 0.00033037 445
0.00030000 0.00030000 0.00032801 416
0.00040000 0.00040000 0.00032658 593
0.00050000 0.00050000 0.00032608 364
0.00060000 0.00060000 0.00032652 453
0.00070000 0.00070000 0.00032788 329
0.00080000 0.00080000 0.00033017 382
0.00090000 0.00090000 0.00033340 524
0.00100000 0.00100000 0.00033756 609
0.00110000 0.00110000 0.00034264 584
0.00120000 0.00120000 0.00034729 506
0.00130000 0.00130000 0.00035080 546
0.00140000 0.00140000 0.00035478 591
0.00150000 0.00150000 0.00035958 498
0.00160000 0.00160000 0.00036380 668
0.00170000 0.00170000 0.00036730 695
0.00180000 0.00180000 0.00037183 714
0.00190000 0.00190000 0.00037741 438
0.00200000 0.00200000 0.00038402 407
0.00210000 0.00210000 0.00039152 574
0.00220000 0.00220000 0.00039929 596
0.00230000 0.00230000 0.00040813 492
0.00240000 0.00240000 0.00041806 495
0.00250000 0.00250000 0.00042875 634
0.00260000 0.00260000 0.00043783 501
0.00270000 0.00270000 0.00044523 535
0.00280000 0.00280000 0.00045371 494
0.00290000 0.00290000 0.00046329 500
0.00300000 0.00300000 0.00047395 486
0.00310000 0.00310000 0.00048570 453
0.00320000 0.00320000 0.00049854 469
0.00330000 0.00330000 0.00051118 353
0.00340000 0.00340000 0.00052448 367
0.00350000 0.00350000 0.00053492 341
0.00360000 0.00360000 0.00054796 367
0.00370000 0.00370000 0.00056433 356
0.00380000 0.00380000 0.00058178 303
0.00390000 0.00390000 0.00060247 307
0.00400000 0.00400000 0.00062697 261
0.00410000 0.00410000 0.00066139 205
0.00420000 0.00420000 0.00070476 225
0.00430000 0.00430000 0.00076805 71
0.00440000 0.00440000 0.00085126 104
0.00450000 0.00450000 0.00095444 78
0.00460000 0.00460000 0.00108349 83
0.00470000 0.00470000 0.00130846 87
0.00480000 0.00480000 0.00165442 77

choose = 6
0.00010000 0.00010000 0.00032269 490
0.00020000 0.00020000 0.00032088 533
0.00030000 0.00030000 0.00031989 408
0.00040000 0.00040000 0.00031973 529
0.00050000 0.00050000 0.00032039 375
0.00060000 0.00060000 0.00032187 472
0.00070000 0.00070000 0.00032391 491
0.00080000 0.00080000 0.00032484 585
